区市町村名,延長（m）,面積（m2）,,,,,,
総計,72424 ,611889 ,,,,,,
区計,33219 ,347039 ,,,,,,
千代田区,790 ,13576 ,,,,,,
中央区,1581 ,23129 ,,,,,,
港区,1200 ,15777 ,,,,,,
新宿区,935 ,5487 ,,,,,,
文京区,207 ,1254 ,,,,,,
台東区,175 ,4854 ,,,,,,
墨田区,854 ,10526 ,,,,,,
江東区,4255 ,65405 ,,,,,,
品川区,1612 ,13401 ,,,,,,
目黒区,614 ,5737 ,,,,,,
大田区,2824 ,28410 ,,,,,,
世田谷区,2695 ,17284 ,,,,,,
渋谷区,621 ,4649 ,,,,,,
中野区,1137 ,9253 ,,,,,,
杉並区,1412 ,8331 ,,,,,,
豊島区,751 ,7154 ,,,,,,
北区,1301 ,10590 ,,,,,,
荒川区,171 ,2000 ,,,,,,
板橋区,1646 ,12338 ,,,,,,
練馬区,2558 ,19267 ,,,,,,
足立区,1358 ,15778 ,,,,,,
葛飾区,2207 ,18996 ,,,,,,
江戸川区,2315 ,33843 ,,,,,,
市町村計,39205 ,264850 ,,,,,,
市計,33733 ,241526 ,,,,,,
町村計,5472 ,23324 ,,,,,,
八王子市,9598 ,82925 ,,,,,,
立川市,711 ,5760 ,,,,,,
武蔵野市,203 ,1223 ,,,,,,
三鷹市,518 ,2647 ,,,,,,
青梅市,4344 ,15539 ,,,,,,
府中市,767 ,6480 ,,,,,,
昭島市,254 ,1496 ,,,,,,
調布市,950 ,5343 ,,,,,,
町田市,403 ,3805 ,,,,,,
小金井市,422 ,2509 ,,,,,,
小平市,213 ,1605 ,,,,,,
日野市,2039 ,14518 ,,,,,,
東村山市,1381 ,10152 ,,,,,,
国分寺市,328 ,2064 ,,,,,,
国立市,144 ,945 ,,,,,,
福生市,201 ,1147 ,,,,,,
狛江市,125 ,856 ,,,,,,
東大和市,601 ,4596 ,,,,,,
清瀬市,388 ,2600 ,,,,,,
東久留米市,597 ,3715 ,,,,,,
武蔵村山市,513 ,3673 ,,,,,,
多摩市,4468 ,38681 ,,,,,,
稲城市,1183 ,9624 ,,,,,,
羽村市,325 ,1244 ,,,,,,
あきる野市,2840 ,17090 ,,,,,,
西東京市,217 ,1289 ,,,,,,
瑞穂町,367 ,3355 ,,,,,,
日の出町,992 ,4859 ,,,,,,
檜原村,915 ,3539 ,,,,,,
奥多摩町,2096 ,6126 ,,,,,,
大島町,368 ,1561 ,,,,,,
利島村,0 ,0 ,,,,,,
新島村,8 ,38 ,,,,,,
神津島村,100 ,633 ,,,,,,
三宅村,289 ,1790 ,,,,,,
御蔵島村,0 ,0 ,,,,,,
八丈町,250 ,964 ,,,,,,
青ケ島村,0 ,0 ,,,,,,
小笠原村,87 ,459 ,,,,,,
