番号,項目,回答数（人）,21%以上増加した_回答数（人）,21%以上増加した_回答数（%）,1%-20%増加した_回答数（人）,1%-20%増加した_回答数（%）,変わらない_回答数（人）,変わらない_回答数（%）
1,小売業(最寄り品)（n=344）,344,105,30.5,197,57.3,42,12.2
2,小売業(買回り品)（n=229）,229,83,36.2,105,45.9,41,17.9
3,宿泊業（n=7）,7,4,57.1,1,14.3,2,28.6
4,飲食業(居酒屋・BAR)（n=177）,177,79,44.6,83,46.9,15,8.5
5,飲食業(居酒屋・BAR以外)（n=260）,260,111,42.7,118,45.4,31,11.9
6,娯楽サービス業（n=52）,52,17,32.7,26,50,9,17.3
7,生活関連サービス業（n=364）,364,142,39,159,43.7,63,17.3
8,その他（n=100）,100,27,27,49,49,24,24
全体,,1533,,,,,,
