番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),506,39.7
2,ほぼ変わらない（±5%未満）,522,40.9
3,少し減少した（5-20%未満）,196,15.4
4,かなり減少した（20%以上）,51,4
全体,,1393,100
