区市町村コード,主たる事務所の所在地,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
13101,千代田区,20,41,31,69,65,83,47,52,55,56,48,35,50,41,40,26
13102,中央区,14,19,33,52,53,64,44,32,21,32,38,40,43,35,24,27
13103,港区,10,40,46,47,76,77,66,59,66,60,50,55,55,60,47,35
13104,新宿区,17,34,53,54,72,81,48,62,47,41,53,37,43,40,28,33
13105,文京区,5,14,25,22,41,33,27,20,20,20,16,24,20,18,17,16
13106,台東区,9,6,12,12,18,20,18,18,12,16,13,15,19,13,14,15
13107,墨田区,1,4,5,8,7,11,6,14,8,5,7,11,8,14,13,10
13108,江東区,4,5,7,13,16,20,12,16,15,10,17,15,9,10,13,10
13109,品川区,7,10,14,12,23,23,15,15,20,19,14,17,17,12,19,10
13110,目黒区,2,3,10,10,21,14,18,15,11,10,11,16,16,16,11,17
13111,大田区,7,7,6,19,27,18,22,25,26,15,14,12,15,18,10,11
13112,世田谷区,12,21,23,22,50,28,39,44,37,36,21,30,29,44,36,25
13113,渋谷区,13,23,28,31,53,47,37,53,32,31,36,36,38,43,32,26
13114,中野区,12,5,14,12,21,14,17,11,9,10,14,16,17,12,13,12
13115,杉並区,10,14,16,21,26,32,31,24,23,20,23,19,22,18,15,17
13116,豊島区,4,13,15,16,30,31,34,22,21,22,17,19,14,21,16,17
13117,北区,3,10,4,10,5,14,18,8,6,9,6,6,16,10,6,6
13118,荒川区,3,2,2,8,5,12,1,4,5,6,3,4,6,7,4,2
13119,板橋区,4,8,5,10,23,13,14,16,17,7,7,10,10,6,13,15
13120,練馬区,11,8,12,20,33,16,27,26,14,13,15,10,18,24,11,15
13121,足立区,4,2,6,11,13,10,14,18,11,10,11,7,14,12,12,9
13122,葛飾区,1,1,7,4,9,14,8,11,7,6,3,10,12,7,12,6
13123,江戸川区,5,4,6,9,12,20,10,12,7,1,12,7,11,15,14,6
13201,八王子市,9,8,8,19,17,18,19,20,18,19,18,18,20,15,13,18
13202,立川市,4,2,1,6,12,10,8,13,4,5,1,5,3,7,8,2
13203,武蔵野市,4,3,5,7,6,8,7,4,4,7,12,3,2,7,5,13
13204,三鷹市,3,4,1,8,8,7,4,8,4,6,4,3,6,3,8,6
13205,青梅市,,,1,4,1,3,3,8,1,3,3,1,3,2,5,1
13206,府中市,3,3,4,6,10,8,11,4,9,10,7,7,3,8,6,6
13207,昭島市,1,2,1,2,5,1,1,1,2,,,2,1,,,
13208,調布市,,4,3,4,7,8,7,6,7,4,9,8,6,5,9,8
13209,町田市,6,10,12,15,15,17,18,12,8,12,10,10,13,13,7,2
13210,小金井市,2,2,6,13,7,4,6,8,3,,5,2,3,3,4,2
13211,小平市,5,2,5,8,4,5,6,7,6,6,6,3,6,6,8,4
13212,日野市,3,1,4,5,5,5,4,5,1,2,4,8,4,6,3,5
13213,東村山市,2,2,1,5,3,5,3,2,8,6,4,4,4,3,5,4
13214,国分寺市,2,3,3,2,7,5,4,3,4,5,,4,8,2,4,3
13215,国立市,1,3,3,3,5,5,1,4,3,2,1,3,4,1,1,3
13218,福生市,1,,2,1,2,2,1,2,1,1,,2,1,2,2,1
13219,狛江市,2,1,3,3,7,2,4,1,2,4,3,2,1,4,1,1
13220,東大和市,1,1,1,3,3,2,2,4,2,3,1,1,3,3,3,1
13221,清瀬市,2,,1,2,3,5,2,1,1,,3,2,1,1,2,
13222,東久留米市,6,2,3,4,5,1,7,11,2,4,3,3,1,4,5,
13223,武蔵村山市,1,1,,2,1,4,1,2,1,,,2,,6,,1
13224,多摩市,2,9,6,7,5,8,5,8,6,6,5,2,5,2,3,5
13225,稲城市,1,3,,2,1,,2,2,1,2,1,3,2,2,3,1
13227,羽村市,,,,,2,1,1,1,1,,1,,2,1,1,1
13228,あきる野市,,1,1,1,1,3,1,2,6,2,4,,,2,,
13229,西東京市,6,7,5,7,7,3,4,5,6,8,5,4,3,5,7,1
13303,瑞穂町,,2,2,2,2,,,,,1,1,,,,1,
13305,日の出町,,3,1,1,,,,,2,2,,,1,,1,
13307,檜原村,,,,,,,1,,1,,,,1,,,
13308,奥多摩町,,,,,,,1,1,,1,,,,,,1
13363,新島村,,,,,,1,,,,,,,,,,
13364,神津島村,,,,,,,,,1,,,,,,1,
13381,三宅村,,,,,,,,1,,,,,,,,
13401,八丈町,,,,,,1,3,1,,,,,,1,,2
13421,小笠原村,,2,,,,,,,,2,,,,,,
