町村名（島名）,早朝、死者数（計）,早朝、死者数（揺れ）,早朝、死者数（屋内収容物）,早朝、死者数（急傾斜地崩壊）,早朝、死者数（屋外落下物）,早朝、死者数（火災）,早朝、死者数（津波）,昼、死者数（計）,昼、死者数（揺れ）,昼、死者数（屋内収容物）,昼、死者数（急傾斜地崩壊）,昼、死者数（屋外落下物）,昼、死者数（火災）,昼、死者数（津波）
大島町,2 ,0 ,0 ,0 ,0 ,0 ,2 ,5 ,0 ,0 ,0 ,0 ,0 ,5 
利島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
新島村（新島）,800 ,0 ,0 ,0 ,0 ,0 ,800 ,394 ,0 ,0 ,0 ,0 ,0 ,394 
新島村（式根島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,2 
神津島村,118 ,0 ,0 ,1 ,0 ,0 ,117 ,175 ,0 ,0 ,1 ,0 ,0 ,174 
三宅村,3 ,0 ,0 ,0 ,0 ,0 ,3 ,6 ,0 ,0 ,0 ,0 ,0 ,6 
御蔵島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
八丈町,2 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 
青ヶ島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小笠原村（父島）,2 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
小笠原村（母島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
島しょ地域計,927 ,0 ,0 ,1 ,0 ,0 ,926 ,585 ,0 ,0 ,1 ,0 ,0 ,584 
