,歳入総額,歳出総額,翌年度に繰り越すべき財源
八王子市,183490715,179980769,510377
立川市,69313256,66421824,349511
武蔵野市,60084385,56936919,105305
三鷹市,64059447,62624900,155725
青梅市,50519532,49636320,89029
府中市,94159813,91018307,18795
昭島市,38608552,37625104,26285
調布市,78531668,76388996,142771
町田市,149044530,145037916,286492
小金井市,42860984,41554467,102918
小平市,58192481,56356225,211963
日野市,61654831,59376944,108309
東村山市,49650350,48096663,66
国分寺市,42831872,41665081,465887
国立市,25860070,25363735,15105
福生市,22349352,21730132,0
狛江市,25999247,25167577,21572
東大和市,28697380,27547884,249180
清瀬市,27667240,26496735,123275
東久留米市,37576200,36781585,22041
武蔵村山市,27618331,26539170,131058
多摩市,49939320,48146196,90838
稲城市,33603714,32548785,408322
羽村市,20718866,20274754,0
あきる野市,28996802,28426905,22654
西東京市,67944427,66673598,299415
瑞穂町,13777654,13339922,10888
日の出町,8642393,8481460,0
檜原村,3538986,3417264,0
奥多摩町,6146258,6007661,0
大島町,7302863,7165410,0
利島村,1074088,1055350,0
新島村,4188094,4022434,0
神津島村,2968317,2915867,0
三宅村,4898736,4614489,35993
御蔵島村,1197812,1178712,0
八丈町,10710819,9515359,1019914
青ケ島村,1081525,835811,88000
小笠原村,4340764,4180675,44782
