番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,214,9.6
2,11-20%程度増加した,306,13.7
3,21-30%程度増加した,325,14.6
4,31-40%程度増加した,125,5.6
5,41-50%程度増加した,92,4.1
6,51％以上増加した,213,9.6
7,変わらない,942,42.3
8,減少した,9,0.4
全体,,2226,100
