都道府県コード,都道府県,従業者数（人）,全国比（％）
,全国,57949915,100
13,東京都,9592059,16.6
27,大阪府,4528208,7.8
23,愛知県,3818542,6.6
14,神奈川県,3525744,6.1
11,埼玉県,2602009,4.5
40,福岡県,2309989,4
28,兵庫県,2221469,3.8
1,北海道,2165390,3.7
12,千葉県,2151386,3.7
22,静岡県,1730955,3
,その他の府県,23304164,40.2
,,,
くらしと統計2024,,,
事業所－１  都道府県別事業所数（民営）と従業者数の割合（令和３年）2,,,
注１)　事業所数及び従業者数は必要な事項の数値が得られた事業所を対象として集計,,,
注２）　事業所数、従業者数ともに全国上位10位までの都道府県を掲載,,,
資料　総務省・経済産業省「令和３年経済センサス‐活動調査」（令和５年６月）,,,
