地域,宅地,その他(屋外利用地等),公園等,未利用地等,道路等,農用地,水面・河川・水路,森林,原野,合計
区部(構成比）（％）,58.9,4,6.6,2.1,22.2,0.8,4.7,0.1,0.8,100
区部(実数）（ha）,37062.4,2495.8,4135.7,1302.5,13941.9,484.4,2931.3,32.2,489.7,62875.9
多摩・島しょ地域（構成比）（％）,20.7,3,3.2,1.3,7.3,4.8,1.2,52.2,6.2,100
多摩・島しょ地域（実数）（ha）,31000.5,4526.8,4776.7,1977.5,10837.2,7230.1,1845.7,77975,9257.2,149426.7
,,,,,,,,,,
くらしと統計2024,,,,,,,,,,
土地・気象－１　土地利用状況,,,,,,,,,,
資料　都都市整備局「東京の土地利用 令和3年東京都区部」（令和5年3月）、「東京の土地利用 平成29年多摩・島しょ地域」（令和元年5月）　,,,,,,,,,,
