降水量・平均気温,地域,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
降水量(mm),東京,15.5,40.5,145,90,159,347,30,132.5,229,147,41.5,19.5
降水量(mm),八丈島,175,203,179,134,192,203.5,191,82,301.5,157.5,210.5,117
降水量(mm),父島,17.5,96.5,40.5,244.5,208.5,90,36,251,54.5,235,100,56
平均気温(℃),東京,5.7,7.3,12.9,16.3,19,23.2,28.7,29.2,26.7,18.9,14.4,9.4
平均気温(℃),八丈島,10.6,11.1,14.7,16.6,18.6,22.6,26,27.1,26.2,21,17.9,13.8
平均気温(℃),父島,18.3,18.7,20.2,21.8,23.6,27,28.2,28.4,28.4,25.9,23.7,20.9
,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,
土地・気象－２　平均気温と降水量の推移（令和５年）,,,,,,,,,,,,,
注)　東京：千代田区北の丸公園「東京管区気象台」、八丈島：八丈町大賀郷「八丈島特別地域気象観測所」、父島：小笠原村父島字西町「父島気象観測所」,,,,,,,,,,,,,
資料　気象庁ホームページ「気象統計情報」,,,,,,,,,,,,,
