一般会計,都税,国庫支出金,都債,その他,総額
決算額（億円）,61644,12362,2097,17227,93330
割合（％）,66,13.2,2.2,18.5,99.9
,,,,,
くらしと統計2024,,,,,
財政－１  一般会計歳入総額と内訳（令和4年度決算額）1,,,,,
注1）　国庫支出金：国と地方公共団体の経費の負担区分に基づいて支出される国の委託金、補助金等,,,,,
注2）　都債：都が将来の人たちに役立つ事業の資金を借り入れるため、発行する証券,,,,,
資料　都総務局統計部「東京都統計年鑑」（都財務局提供資料）、都主税局ホームページ「都税収入決算(令和4年度)」,,,,,
