卸売業・小売業,1位,1位実数,1位構成比（％）,2位,2位実数,2位構成比（％）,3位,3位実数,3位構成比（％）,その他道府県,その他実数,その他構成比（％）,全国
卸売業の事業所数,東京都,53160,15.2,大阪府,34657,9.9,愛知県,23824,6.8,その他道府県,237248,68,348889
卸売業の従業者数（人）,東京都,1034583,26.8,大阪府,437823,11.4,愛知県,278204,7.2,その他道府県,2106175,54.6,3856785
卸売業の年間商品販売額（百万円）,東京都,160884467,40.1,大阪府,46088253,11.5,愛知県,32214050,8,その他道府県,162446765,40.4,401633535
小売業の事業所数,東京都,87895,10,大阪府,55351,6.3,愛知県,46535,5.3,その他道府県,690250,78.4,880031
小売業の従業者数（人）,東京都,906332,12,大阪府,517282,6.9,神奈川県,488378,6.5,その他道府県,5628353,74.6,7540345
小売業の年間商品販売額（百万円）,東京都,20054852,14.5,大阪府,9442129,6.8,神奈川県,8833606,6.4,その他道府県,99849825,72.3,138180412
,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,
卸売業・小売業・サービス業－１　卸売業・小売業における上位３都府県の割合（令和３年）,,,,,,,,,,,,,
注）　 年間商品販売額は令和２年の金額による割合,,,,,,,,,,,,,
資料　総務省・経済産業省「令和３年経済センサス-活動調査　産業別集計(卸売業，小売業)」（令和５年3月）,,,,,,,,,,,,,
