年,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
訪都外国人旅行者数（千人）,5562,6812,8874,11894,13102,13774,14243,15176,2523,…,3313
,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,
運輸・観光－３　訪都外国人旅行者数の推移,,,,,,,,,,,
注1)　　訪都外国人旅行者数：観光庁「観光入込客統計に関する共通基準」に基づき、東京都の観光特性を加味して四半期毎に調査・推計した数,,,,,,,,,,,
注2)　　新型コロナウイルス感染症の影響により、一部参考値等を用いて推計している。,,,,,,,,,,,
資料  都産業労働局「東京都観光客数等実態調査」,,,,,,,,,,,
