年,雇用者総数（万人）,会社などの役員（万人）,正規の職員・従業員（万人）,パート（万人）,アルバイト（万人）,契約社員・嘱託（万人）,労働者派遣事業所の派遣社員（万人）,その他（万人）
2022,765.2,55.4,478.1,89.1,59.4,49.7,24.8,8.6
2017,715.1,52,430.1,90.3,61.5,49.7,21.6,10
,,,,,,,,
くらしと統計2024,,,,,,,,
労働－４　雇用形態別雇用者数の推移,,,,,,,,
資料　総務省統計局「就業構造基本調査」,,,,,,,,
