地域,対全国倍率・消費支出額(円),食料,住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,その他の消費支出
東京都,対全国倍率,1.15,1.44,0.95,1.05,1.29,1.18,0.84,1.71,1.32,0.99
全国,対全国倍率,1,1,1,1,1,1,1,1,1,1
東京都,消費支出額,88881,26865,23328,12768,11756,17369,34883,19540,35037,54240
全国,消費支出額,77474,18645,24522,12121,9106,14705,41396,11436,26642,54817
,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,
家計－２　消費支出における10大費目別支出金額の対全国倍率（令和４年）,,,,,,,,,,,
全国＝1.0,,,,,,,,,,,
注1）  消費支出：日常生活を営むにあたり必要な商品やサービスを購入した金額で、1世帯1か月当たりの支出額（住宅ローンの返済等は含まない。）,,,,,,,,,,,
注2）　費目別支出金額の対全国倍率＝東京都の二人以上の世帯の費目別支出金額÷全国の二人以上の世帯の費目別支出金額,,,,,,,,,,,
資料　都総務局統計部｢都民のくらしむき 東京都生計分析調査（令和４年年報）｣（令和５年４月）、総務省統計局ホームページ「家計調査（家計収支編）」,,,,,,,,,,,
