項目1,項目2,東京都,全国,順位,年次
土地・気象,面積（平方キロメートル）,2200,377975,45,2023/10/1
住宅,持ち家住宅率（％）,45,61.2,46,2018/10/1
住宅,専用住宅の1住宅当たり延べ面積（平方メートル）,65.18,92.06,47,2018/10/1
人口・世帯,人口総数（推計）（万人）,1403.8,12494.7,1,2022/10/1
人口・世帯,外国人人口（万人）,59.6,307.5,1,2022/12/31
人口・世帯,転入者数（住民基本台帳による他府県との移動人口）（万人）,45.4,254.5,1,2023年
人口・世帯,転出者数（住民基本台帳による他府県との移動人口）（万人）,38.6,254.5,1,2023年
人口・世帯,合計特殊出生率,1.04,1.26,47,2022年
人口・世帯,一般世帯数（万世帯）,722,5570,1,2020/10/1
人口・世帯,一般世帯の1世帯当たり人員（人）,1.92,2.21,47,2020/10/1
労働,有効求人倍率,1.49,1.28,－,2022年平均
労働,一人平均月間現金給与額（事業所規模30人以上）（万円）,48.1,38,－,2022年平均
労働,一人平均月間総実労働時間（事業所規模30人以上）（時間）,145,143.2,－,2022年平均
労働,完全失業率（％）,2.6,2.6,－,2022年平均
家計,1世帯当たり1か月間の世帯の勤め先収入［二人以上の世帯のうち勤労者世帯］（万円）,63.5,56.4,－,2022年平均
家計,1世帯当たり1か月間の消費支出［二人以上の世帯のうち勤労者世帯］（万円）,35,32.1,－,2022年平均
医療・衛生・環境,病院数（施設）,629,8156,1,2022/10/1
医療・衛生・環境,自然公園面積（ヘクタール）,79895,5605074,29,2023/3/31
物価,都道府県別消費者物価地域差指数（総合）（全国平均＝100）,104.7,100,1,2022年
都民経済計算,都内総生産（名目GDP）（兆円）,109.6,537.6,－,2020年度
事業所,事業所数（民営事業所のみ）※業務内容等不詳を除く（万事業所）,62.8,515.6,1,2021/6/1
事業所,従業者数（民営事業所のみ）※業務内容等不詳を除く（万人）,959.2,5795,1,2021/6/1
農林水産業,農業産出額（兆円）,0.0218,9,47,2022年
工業,製造品出荷額等（全事業所）（兆円）,7.2,303.6,15,2021年
卸売業・小売業・サービス業,年間商品販売額（卸売業・小売業）（兆円）,180.9,539.8,1,2021年
財政,一般会計歳入歳出予算額（東京都及び国の一般会計当初予算）（兆円）,8,114.4,－,2023年度
警察・消防,交通事故発生件数（万件）,3,30.1,1,2022年
警察・消防,刑法犯認知件数（万件）,7.8,60.1,1,2022年
警察・消防,出火件数（件）,3970,36314,1,2022年
警察・消防,出火率（人口1万人当たりの出火件数）（件）,2.88,2.88,30,2022年
,,,,,
くらしと統計2024,,,,,
全国から見た東京都,,,,,
