一般会計,一般歳出,公債費・税連動経費等,歳出総額
予算額（億円）,59354,21056,80410
割合（％）,73.8,26.2,100
,,,
くらしと統計2024,,,
財政－２  一般会計歳出総額と内訳（令和5年度当初予算額）１,,,
注）　一般歳出：歳出総額から、法令の定めにより税収の一定割合を区市町村に対して交付する経費(税連動経費)や過去の借入の返済に充てる経費（公債費）などを除いた部分,,,
資料　 都財務局「東京都の財政」（令和5年4月）,,,
