都道府県コード,都道府県,国宝・重要文化財件数（件）
13,東　京,2849
26,京　都,2214
29,奈　良,1334
25,滋　賀,832
27,大　阪,683
28,兵　庫,474
30,和歌山,397
14,神奈川,352
23,愛　知,343
22,静　岡,225
,,
くらしと統計2024,,
教育・文化 ― ３ 都道府県別国指定重要文化財の件数（令和６年）,,
注1）　国指定重要文化財：美術工芸品（絵画・彫刻・工芸品・書跡・典籍・古文書・考古資料・歴史資料）、建造物,,
注2）　上位10位までを掲載,,
資料　文化庁「文化財指定等の件数」（令和６年２月）,,
