年度,乗降客数（人）,着陸回数（回）
2015,13434345,34668
2016,15642093,40166
2017,17120272,42320
2018,18164341,43737
2019,16823966,42515
2020,414876,9911
2021,830532,13444
2022,6809701,23338
,,
くらしと統計2024,,
運輸・観光－２ 羽田空港における国際線乗降客数の推移,,
注)　　国際線乗降客数には、通過客を含む。,,
資料　国土交通省「空港管理状況調書」,,
