区分,2016年度,2017年度,2018年度,2019年度,2020年度
都内総生産（名目）（10億円）,111213.4,113409.8,114983.9,115063.3,109601.6
全国比（％）,20.4,20.4,20.7,20.7,20.4
,,,,,
くらしと統計2024,,,,,
都民経済計算－１　都内総生産（名目）の推移及び対全国比,,,,,
資料　都総務局統計部「都民経済計算年報　令和２年度」（令和5年4月）,,,,,
