品目,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
カレーライス（円）,584,606,619,610,607,633,652,656,656,658,640,660,680,668,670,676,727,754,742,729,720,723,750,739,767,782,751,714,714,726,749
中華そば（円）,467,484,484,486,493,515,515,517,543,549,555,561,562,559,559,569,588,588,594,590,587,583,567,567,573,566,561,570,563,542,543
牛乳（円）,208,211,209,207,204,209,209,209,209,206,207,206,208,207,204,202,209,214,216,217,214,212,217,221,224,221,208,214,216,216,218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
物価－３　カレーライス（外食）、中華そば（外食）、牛乳の小売価格の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"注)　　カレーライス（1皿）、中華そば（しょう油味、1杯）、牛乳（店頭売り、紙容器入り、1,000mlの東京都区部の小売価格",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　総務省統計局「小売物価統計調査年報」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
