都税（税目別収入済額）,法人二税,固定資産税・都市計画税,個人都民税,地方消費税,自動車税,その他の税,総額
決算額（億円）,22690,16502,10402,7483,1149,3418,61644
割合（％）,36.8,26.8,16.9,12.1,1.9,5.5,100
,,,,,,,
くらしと統計2024,,,,,,,
財政－１  一般会計歳入総額と内訳（令和4年度決算額）2,,,,,,,
注1）　法人二税：法人都民税、法人事業税,,,,,,,
資料　都総務局統計部「東京都統計年鑑」（都財務局提供資料）、都主税局ホームページ「都税収入決算(令和4年度)」,,,,,,,
