区分,出会頭,右折・左折時,人対自転車,追越追抜,すれ違い時,その他,計
件数（件）,4497,2111,1300,672,241,5704,14525
構成比（％）,31,14.5,9,4.6,1.7,39.3,100
,,,,,,,
くらしと統計2024,,,,,,,
警察・消防－１　自転車関与事故件数の推移と類型別件数２,,,,,,,
注）　自転車関与事故件数：自転車乗用者が第１又は第２当事者となった事故件数であり、自転車相互事故は１件として計上している。,,,,,,,
資料　警視庁「都内自転車の交通事故発生状況」,,,,,,,
