指数,2017年,2018年,2019年,2020年,2021年,2022年
常用雇用指数,97.6,98.8,100.7,100,99.2,99.8
所定内労働時間指数,106,104.7,102,100,101.7,102
所定外労働時間指数,110.5,105.8,110.6,100,108.7,113.6
,,,,,,
くらしと統計2024,,,,,,
労働－２　常用雇用指数、所定内・所定外労働時間指数の推移（調査産業計）－常用労働者５人以上の事業所－,,,,,,
2020年平均＝100,,,,,,
注)　常用雇用指数：常用労働者数（パートタイム労働者を含む）を指数化したもの,,,,,,
資料 都総務局統計部ホームページ「東京都の賃金、労働時間及び雇用の動き （毎月勤労統計調査）-令和4年（年報）-」,,,,,,
