国名,国内総生産（10億ドル）
アメリカ,21060.5
中国,14687.7
日本,5048.3
ドイツ,3889.7
イギリス,2704.6
インド,2667.7
フランス,2639
イタリア,1896.8
カナダ,1647.6
韓国,1644.3
ロシア,1488.3
ブラジル,1448.6
オーストラリア,1431.7
スペイン,1277
メキシコ,1090.5
インドネシア,1058.7
東京都,1033.5
オランダ,909.8
スイス,739.8
トルコ,720.3
,
くらしと統計2024,
都民経済計算－２　主要国との国際比較（令和２年）,
注１）　令和２年（暦年）で比較。ただし、東京都は令和２年度（4/1～3/31）、オーストラリアは令和２年度（7/1～6/30）。,
注2）　都内総生産は、日本銀行が公表する東京市場インターバンク直物中心相場の各月中平均値より計算（12か月単純平均）した為替レート（1ドル＝106.04円）を用いて換算している。,
注3）　データは内閣府経済社会総合研究所「2021年度（令和３年度）国民経済計算年次推計」（令和４年12月）により、掲載がないものは“OECD.Stat”（OECD）によった。,
資料　都総務局統計部「都民経済計算年報　令和２年度」（令和5年4月）,
