支出金額(円),2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
魚介類,7069,6961,6856,6702,6850,7095,7046,6889,6517,6474,7018,7041,6522
肉類,6795,6717,6592,6964,7448,7629,7682,7995,7971,7848,9199,9014,8454
,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,
家計－４　魚介類及び肉類の支出金額の推移,,,,,,,,,,,,,
注）　1世帯1か月当たりの品目別支出額,,,,,,,,,,,,,
資料　都総務局統計部「都民のくらしむき 東京都生計分析調査（年報）」,,,,,,,,,,,,,
