産業中分類,製造品出荷額等（万円）,構成比（％）
総数,720291432,100
輸送用機械,107180844,14.9
食料品,79168020,11
印刷・同関連業,71717795,10
電気機械,69358428,9.6
業務用機械,46953544,6.5
ほか19産業,345912801,48
,,
くらしと統計2024,,
工業－１　製造業における産業中分類別の構成比（令和３年）－全事業所－2,,
注1)　個人経営の事業所を除く,,
注2)　製造品目別に出荷額が得られた事業所を集計,,
注3)　上位５位までを掲載,,
注4）  事業所数は令和３年６月１日現在、製造品出荷額は令和２年１年間の数値,,
資料　都総務局統計部「令和３年経済センサス‐活動調査報告（産業別集計　東京の製造業）」（令和５年３月）,,
