経済活動,全国（539.1兆円）（令和２暦年）,東京都（109.6兆円）（令和２年度）
農林水産業,1,0
鉱業・製造業,20.2,6.9
電気・ガス・水道・廃棄物処理業,3.2,1.6
建設業,5.7,4.2
卸売・小売業,12.8,21.1
運輸・郵便業,4.2,2.7
宿泊・飲食サービス業,1.7,1.7
情報通信業,5.1,11.6
金融・保険業,4.2,7.7
不動産業,12.3,13.4
専門・科学技術、業務支援サービス業,8.8,12.2
公務,5.2,3.9
教育,3.6,2.6
保健衛生・社会事業,8.2,6.5
その他のサービス,3.8,3.6
,,
くらしと統計2024,,
都民経済計算－3　経済活動別(産業別）GDP構成比（名目）の比較,,
注)　　構成比は、経済活動別付加価値の合計に対するもの,,
資料　都総務局統計部「都民経済計算年報　令和２年度」（令和5年4月）、内閣府経済社会総合研究所「2021年度（令和３年度）国民経済計算年次推計」（令和４年12月）,,
