年度,学習者用(％),指導者用(％)
2017,…,54.4
2018,…,53.4
2019,11.2,62
2020,7.1,74.5
2021,42,90.3
2022,90.8,93
,,
くらしと統計2024,,
通信・情報－１　デジタル教科書整備率の推移,,
注１）調査の対象は、全国の公立学校（小学校、中学校、義務教育学校、高等学校、中等教育学校及び特別支援学校）,,
"注２）文部科学省から配布されている「Hi, friends!」「We Can!」「Let’s Try!」はカウントしていない。",,
資料　文部科学省「学校における教育の情報化の実態等に関する調査」,,
,,
,,
　,,
　,,
　,,
　,,
　,,
　,,
