スポーツ施設,2021年度
体育館,3157
水泳プール,2846
多目的運動場,2552
トレーニング場,1514
庭球場,1199
野球場・ソフトボール場,705
柔道場,353
柔剣道場（武道場）,346
ダンス場,319
剣道場,312
空手・合気道場,297
球技場,293
ゴルフ練習場,187
卓球場,134
陸上競技場,105
その他,1590
総計,15909
,
くらしと統計2024,
スポーツ－2　スポーツ施設数（令和３年度）,
注）    上位15位までを掲載,
資料　スポーツ庁「令和３年度体育・スポーツ施設現況調査」,
