駅名,JR（千人）,私鉄（千人）,地下鉄（千人）,計（千人）
東京,103163,―,23346,126509
品川,77563,32474,―,110037
渋谷,90704,195685,131448,417837
新宿,190595,188688,94488,473771
池袋,148734,129873,72484,351091
上野,44561,6289,24562,75412
秋葉原,58958,16223,15595,90776
横浜(神奈川県),110872,178098,20549,309519
名古屋（愛知県）,52216,62772,52554,167542
大阪・梅田（大阪府）,107667,108098,106297,322062
,,,,
くらしと統計2024,,,,
運輸・観光－１　主な駅の乗車人員数（令和3年度）,,,,
注1）  「新宿」は西武新宿駅を含む。,,,,
注2）  「大阪・梅田」の地下鉄乗車人員数：調査日（1日）を1年に換算したもの,,,,
資料  都総務局統計部「第73回　東京都統計年鑑（令和3年）」（JR東日本、私鉄各社、東京地下鉄、都交通局提供資料）、横浜市「第101回横浜市統計書」、名古屋市「令和4年版名古屋市統計年鑑」、大阪市「大阪市統計書（令和4年版）」,,,,
