東京都ソフトウェア業の内訳,年間売上高（百万円）,割合（％）
ソフトウェア業,6142700,100
ソフトウェア業（受注ソフトウェア開発）,4758549,77.5
ソフトウェア業（ソフトウェア・プロダクツ）,1384151,22.5
,,
くらしと統計2024,,
卸売業・小売業・サービス業－２　主なサービス産業の年間売上高（平成30年）２,,
注1）　主たる業務の年間売上高：１事業所における全業務の売上高のうち売上高が最も高い業務の売上高,,
注2）　ソフトウェア・プロダクツ：業務用パッケージ、ゲームソフト、コンピュータ基本ソフト,,
資料　経済産業省「平成30年特定サービス産業実態調査（確報）」（令和元年9月）,,
