産業分類コード,産業大分類,試算値,全国売上（収入）金額（百万円）,東京都売上（収入）金額（百万円）,東京都順位,東京都対全国比（％）,その他道府県売上（収入）金額（百万円）,その他道府県対全国比（％）
A、B,農林漁業(個人経営を除く),,5709699,69575,31,1.2,5640124,98.8
C,"鉱業,採石業,砂利採取業",,653035,13078,14,2,639957,98
D,建設業,※,110607631,22117131,1,20,88490500,80
E,製造業,,331087259,14922213,6,4.5,316165046,95.5
F,電気・ガス・熱供給・水道業,※,32113373,3135442,1,9.8,28977931,90.2
G,情報通信業,※,72945420,48241907,1,66.1,24703513,33.9
H,"運輸業,郵便業",※,58790860,11337654,1,19.3,47453206,80.7
I,"卸売業,小売業",,583341960,190919057,1,32.7,392422903,67.3
J,"金融業,保険業",※,116764420,50221800,1,43,66542620,57
K,"不動産業,物品賃貸業",,56517876,23754774,1,42,32763102,58
L,"学術研究,専門･技術サービス業",,47485531,24843425,1,52.3,22642106,47.7
M,"宿泊業,飲食サービス業",,20423031,3557851,1,17.4,16865180,82.6
N,"生活関連サービス業,娯楽業",,30486809,7366620,1,24.2,23120189,75.8
O,"教育,学習支援業",※,13323144,3471084,1,26.1,9852060,73.9
P,"医療,福祉",,175491282,69038412,1,39.3,106452870,60.7
Q,複合サービス事業,※,4623351,317110,2,6.9,4306241,93.1
R,サービス業(他に分類されないもの),※,48010151,14841718,1,30.9,33168433,69.1
,,,,,,,,
くらしと統計2024,,,,,,,,
事業所－２  産業別、全国売上（収入）金額に占める東京都の割合（令和２年）,,,,,,,,
注1)　売上（収入）金額は、必要な事項の数値が得られた民営事業所を対象として集計した。なお、事業所ごとの把握が困難な一部の産業（※）においては調査及び集計をしていないため、総務省・経済産業省の試算値を掲載した。,,,,,,,,
注2)　太字下線付の産業は、東京都が全国第1位のもの。,,,,,,,,
資料　総務省・経済産業省「令和３年経済センサス‐活動調査」（令和５年６月）,,,,,,,,
