一般歳出,福祉と保健,教育と文化,警察と消防,都市の整備,労働と経済,企画・総務,生活環境,一般歳出の金額
予算額（億円）,15384,11980,9218,8913,6963,3691,3205,59354
割合（％）,25.9,20.2,15.5,15,11.7,6.2,5.4,99.9
,,,,,,,,
くらしと統計2024,,,,,,,,
財政－２  一般会計歳出総額と内訳（令和5年度当初予算額）２,,,,,,,,
注）　一般歳出：歳出総額から、法令の定めにより税収の一定割合を区市町村に対して交付する経費(税連動経費)や過去の借入の返済に充てる経費（公債費）などを除いた部分,,,,,,,,
資料　 都財務局「東京都の財政」（令和5年4月）,,,,,,,,
