産業中分類,事業所数,構成比（％）
総数,14861,100
印刷・同関連業,2621,17.6
金属製品,2167,14.6
生産用機械,1457,9.8
その他の製造業,1019,6.9
プラスチック,848,5.7
ほか19産業,6749,45.4
,,
くらしと統計2024,,
工業－１　製造業における産業中分類別の構成比（令和３年）－全事業所－1,,
注1)　個人経営の事業所を除く,,
注2)　製造品目別に出荷額が得られた事業所を集計,,
注3)　上位５位までを掲載,,
注4）  事業所数は令和３年６月１日現在、製造品出荷額は令和２年１年間の数値,,
資料　都総務局統計部「令和３年経済センサス‐活動調査報告（産業別集計　東京の製造業）」（令和５年３月）,,
