自転車関与事故件数,2018年,2019年,2020年,2021年,2022年,2023年
件数（件）,11771,11874,10407,12035,13883,14525
,,,,,,
くらしと統計2024,,,,,,
警察・消防－１　自転車関与事故件数の推移と類型別件数１,,,,,,
注）　自転車関与事故件数：自転車乗用者が第１又は第２当事者となった事故件数であり、自転車相互事故は１件として計上している。,,,,,,
資料　警視庁「都内自転車の交通事故発生状況」,,,,,,
