学校種,1953年度,1954年度,1955年度,1956年度,1957年度,1958年度,1959年度,1960年度,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度
幼稚園（人）,62720,73537,76756,77395,80323,83103,87845,97402,105551,112883,127624,146424,159158,175367,188996,203684,221928,236885,240207,252202,276784,279741,277350,277174,278402,273345,259384,238075,217538,207595,201952,195790,190233,186951,187413,188934,187670,184153,181708,179354,175556,169084,165358,164185,163932,166785,168779,170867,171000,175600,176905,179026,179392,178850,177675,175952,172019,171273,171769,173642,172467,170673,165348,161275,157418,154423,150270,144095,134456,122669,110422
小学校（人）,853213,920538,957772,980086,1005821,1036806,1021810,938435,878986,819438,782482,766806,767352,778223,791836,812756,841194,869102,899618,930198,939699,964205,988886,1008975,1021100,1034922,1060176,1056348,1038536,1008917,969942,928786,882702,837282,793478,759459,733136,709140,688721,668450,651542,634355,617682,598020,581308,569947,561792,557808,558286,560912,567216,572575,580036,586492,588374,592736,594326,595669,592192,586412,585535,587983,592158,594053,601414,609512,614873,619291,622820,624426,623631
中学校（人）,366751,424814,455204,485804,473232,438819,426599,500512,575297,607891,553657,504441,450669,414476,394257,380080,373195,371554,381065,395657,409227,418406,429064,442045,460838,474865,472524,481278,492619,515580,519821,525324,532313,532584,517592,486877,451241,425512,408857,397289,380065,366736,356402,351996,347083,339365,328498,318707,312565,305622,299439,295387,295843,298062,304555,307538,311305,309247,311982,311758,312764,311841,310874,306820,304199,300085,300377,304405,311049,313353,314459
高等学校(全日制・定時制）（人）,285133,275519,285619,306113,344925,374989,406306,406790,392137,402050,476641,550144,584103,544525,502890,459787,432527,420748,416069,414443,415822,424096,433889,437894,440956,449258,461659,477208,487200,483107,494795,506974,526908,529703,533296,542096,543166,529675,503166,471240,446829,430094,417137,398466,381497,369403,364531,358824,349813,338051,329659,325178,318279,311592,306810,306508,308253,313183,313779,315262,312593,315967,316839,318366,316832,314305,310285,306229,301648,299883,299792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教育・文化－２　学校種別在学者数の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注)　高等学校在学者数は全日制及び定時制の本科のみ　　　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　都総務局統計部ホームページ「学校基本統計（学校基本調査）」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
