年,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
総合指数,97.4,98.4,97.2,96.2,95.7,95.3,95.3,97.5,98.2,98.1,98.2,99.1,99.9,100,99.8,102.2,105.4
前年比,0.1,1,-1.2,-1,-0.5,-0.5,0.1,2.3,0.7,-0.2,0.1,0.9,0.8,0.1,-0.2,2.5,3.2
,,,,,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,,,,,
物価－１　東京都区部消費者物価指数の推移,,,,,,,,,,,,,,,,,
令和２年平均＝100,,,,,,,,,,,,,,,,,
資料　都総務局統計部「東京の物価」,,,,,,,,,,,,,,,,,
