区分,2018年第1Q,2018年第2Q,2018年第3Q,2018年第4Q,2019年第1Q,2019年第2Q,2019年第3Q,2019年第4Q,2020年第1Q,2020年第2Q,2020年第3Q,2020年第4Q,2021年第1Q,2021年第2Q,2021年第3Q,2021年第4Q,2022年第1Q,2022年第2Q,2022年第3Q,2022年第4Q,2023年第1Q,2023年第2Q,2023年第3Q,2023年第4Q
東京都,94,94.2,95.2,96,92.6,93.9,94.4,90.9,87.5,77.4,76.3,79.4,83.1,89.9,85.4,85.3,87.9,89.8,87.9,88.8,84.2,85.1,83.1,82.9
,,,,,,,,,,,,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,,,,,,,,,,,,
工業－２  四半期別工業指数（生産指数）の推移,,,,,,,,,,,,,,,,,,,,,,,,
平成27年＝100,,,,,,,,,,,,,,,,,,,,,,,,
参考　  令和元年10月１日：消費税率改定（税率8%→10%）,,,,,,,,,,,,,,,,,,,,,,,,
注1）  工業指数：製造工業の都内の工業生産活動の動向を把握する経済指標,,,,,,,,,,,,,,,,,,,,,,,,
注2）  指数値は、製造工業の季節変動を取り除いた季節調整済指数,,,,,,,,,,,,,,,,,,,,,,,,
"資料  都総務局統計部「東京都工業指数」								",,,,,,,,,,,,,,,,,,,,,,,,
