年,認可保育所定員（人）,認証保育所定員（人）,待機児童数（人）
2013,193757,23519,8117
2014,203170,24527,8672
2015,216699,23912,7814
2016,230334,22665,8466
2017,247105,21418,8586
2018,266473,20759,5414
2019,285121,19551,3690
2020,303093,18072,2343
2021,313364,16718,969
2022,319510,15529,300
2023,320870,14618,286
,,,
くらしと統計2024,,,
社会保障－１   保育所の定員と待機児童数の推移,,,
資料  都福祉局「保育サービス利用状況等について」※各年４月現在,,,
