地域階層,地域コード,地域,面積（平方キロメートル）,人口／総数（人）,人口／男（人）,人口／女（人）,65歳以上人口の割合（％）,（参考）世帯数（世帯）,小学校児童数（人）,中学校生徒数（人）
0,13000,総数,2199.93,14105098,6918630,7186468,22.67,7447433,623631,314459
1,13100,区部,627.51,9791293,4799245,4992048,21.36,5381261,411284,205225
1,13200,市部,783.95,4236430,2080143,2156287,25.43,2031579,208528,107382
1,13300,郡部,375.86,54101,26913,27188,34.45,22204,2654,1344
1,13350,島部,412.61,23274,12329,10945,36.06,12389,1165,508
2,13101,千代田区,11.66,68393,34474,33919,16.7,38448,5205,6475
2,13102,中央区,10.21,175891,84129,91762,14.66,97790,8796,2184
2,13103,港区,20.36,266899,126187,140712,17.06,151380,11878,9682
2,13104,新宿区,18.22,354032,177625,176407,19.34,231735,10805,6452
2,13105,文京区,11.29,245469,118216,127253,19,138590,13448,9565
2,13106,台東区,10.11,220711,112860,107851,21.72,135381,7078,2900
2,13107,墨田区,13.77,280989,138522,142467,21.52,157584,10404,5685
2,13108,江東区,42.99,536787,263292,273495,21.14,279384,24665,9430
2,13109,品川区,22.85,423239,208777,214462,20.14,242253,14459,6309
2,13110,目黒区,14.67,285526,134305,151221,19.75,156397,11091,4713
2,13111,大田区,61.86,745243,372001,373242,22.62,409616,30197,11726
2,13112,世田谷区,58.05,939548,443298,496250,20.4,496880,42971,21856
2,13113,渋谷区,15.11,243594,117502,126092,18.74,151842,9567,5010
2,13114,中野区,15.59,347203,173893,173310,20.1,213493,11693,6639
2,13115,杉並区,34.06,589242,284059,305183,21.06,339432,23237,10919
2,13116,豊島区,13.01,306059,153674,152385,19.62,190602,10460,7728
2,13117,北区,20.61,359348,178623,180725,24.14,197668,14991,7518
2,13118,荒川区,10.16,220313,109223,111090,22.85,117129,9072,4351
2,13119,板橋区,32.22,586459,286270,300189,23.18,325674,24302,11642
2,13120,練馬区,48.08,753257,361109,392148,21.96,383719,34204,15682
2,13121,足立区,53.25,696439,347794,348645,24.57,360597,29727,14123
2,13122,葛飾区,34.8,455785,226422,229363,24.49,225874,20351,9167
2,13123,江戸川区,49.9,690867,346990,343877,21.34,339793,32683,15469
2,13201,八王子市,186.38,578175,290544,287631,27.58,276898,24288,14873
2,13202,立川市,24.36,184967,91451,93516,24.77,93166,8725,3783
2,13203,武蔵野市,10.98,150281,72010,78271,22.37,78789,8173,4480
2,13204,三鷹市,16.42,195288,94021,101267,21.96,97365,9879,4407
2,13205,青梅市,103.31,130712,65267,65445,31.67,57903,5367,2975
2,13206,府中市,29.43,262544,130751,131793,22.35,126698,14012,6456
2,13207,昭島市,17.34,114876,57097,57779,26.5,54104,5879,2814
2,13208,調布市,21.58,243752,117342,126410,21.72,123209,12487,6277
2,13209,町田市,71.55,432259,210613,221646,27.21,199232,21692,12345
2,13210,小金井市,11.3,127261,62261,65000,21.35,64292,6751,4013
2,13211,小平市,20.51,200532,97967,102565,23.5,94409,11020,5163
2,13212,日野市,27.55,190937,94958,95979,24.89,92955,9376,4313
2,13213,東村山市,17.14,152088,73873,78215,26.98,70709,6941,4142
2,13214,国分寺市,11.46,131572,63990,67582,21.92,65769,6802,3021
2,13215,国立市,8.15,76516,37052,39464,23.93,38886,4577,2271
2,13218,福生市,10.16,55959,27924,28035,27.58,29027,2220,1104
2,13219,狛江市,6.39,83514,40253,43261,24.24,42678,3924,1393
2,13220,東大和市,13.42,83681,40867,42814,27.6,37583,4262,2091
2,13221,清瀬市,10.23,75981,36355,39626,27.88,35804,3666,1839
2,13222,東久留米市,12.88,114822,55212,59610,28.64,52414,5898,2809
2,13223,武蔵村山市,15.32,69859,34645,35214,26.86,30825,3760,2005
2,13224,多摩市,21.01,146121,71294,74827,29.2,70413,6888,3896
2,13225,稲城市,17.97,94881,47508,47373,21.85,41647,5391,2370
2,13227,羽村市,9.9,53959,27284,26675,26.85,24736,2583,1398
2,13228,あきる野市,73.47,78513,38793,39720,30.52,33068,3961,2318
2,13229,西東京市,15.75,207380,100811,106569,24.22,99000,10006,4826
2,13303,瑞穂町,16.85,31227,15718,15509,29.84,13415,1461,744
2,13305,日の出町,28.07,16664,8129,8535,36.3,6163,990,509
2,13307,檜原村,105.41,1866,913,953,52.65,786,60,27
2,13308,奥多摩町,225.53,4344,2153,2191,51.5,1840,143,64
2,13361,大島町,90.76,6655,3452,3203,38.28,3475,299,137
2,13362,利島村,4.04,331,188,143,23.34,202,19,12
2,13363,新島村,27.54,2253,1119,1134,41.32,1121,108,42
2,13364,神津島村,18.58,1742,903,839,33.31,809,124,40
2,13381,三宅村,55.26,2139,1195,944,39.5,1294,94,42
2,13382,御蔵島村,20.39,301,170,131,19.86,177,27,8
2,13401,八丈町,72.24,6760,3394,3366,40,3688,328,143
2,13402,青ヶ島村,5.95,162,95,67,22.02,122,5,3
2,13421,小笠原村,113.04,2931,1813,1118,17.2,1501,161,81
,,,,,,,,,,
くらしと統計2024,,,,,,,,,,
区市町村統計表,,,,,,,,,,
人口・世帯数は、令和２年10月1日現在の国勢調査人口（確報値）を基準とし、これに毎月の住民基本台帳人口等の増減数を加えて推計した。なお、世帯数については、国勢調査と住民基本台帳上との世帯の定義に若干の相違があるので、参考として掲げた。,,,,,,,,,,
注）面積は、総務局行政部長通知「東京都区市町村別の面積について」による令和5年10月1日現在の数値である。なお、区部には、荒川河口部（1.12k㎡）、中央防波堤外側埋立地（1.2k㎡）、新海面処分場（2.36k㎡）を含み、島部には、鳥島（4.79k㎡）、ベヨネース列岩（0.00k㎡）、須美寿島（0.02k㎡）、孀婦岩（0.00k㎡）を含む。,,,,,,,,,,
資料　都総務局統計部「東京都の人口（推計）」（令和6年1月1日現在）、「住民基本台帳による東京都の世帯と人口（町丁別・年齢別）」（令和5年1月1日現在）、「学校基本統計（学校基本調査）」,,,,,,,,,,
