海区,順位,種類,生産金額（千円）,構成比（％）
東京湾海区,1,すずき,52460,30.8
東京湾海区,2,このしろ,28670,16.9
東京湾海区,3,あさり類,27087,15.9
東京湾海区,,その他,61931,36.4
東京湾海区,,合計,170148,100
大島海区,1,きんめだい,620928,49.6
大島海区,2,まぐろ類,289252,23.1
大島海区,3,いか類,82923,6.6
大島海区,,その他,258227,20.6
大島海区,,合計,1251330,100
三宅海区,1,きんめだい,113401,42
三宅海区,2,まぐろ類,95928,35.5
三宅海区,3,かつお類,20456,7.6
三宅海区,,その他,40463,15
三宅海区,,合計,270248,100
八丈海区,1,きんめだい,514328,70.7
八丈海区,2,まぐろ類,88042,12.1
八丈海区,3,めだい,26461,3.6
八丈海区,,その他,98639,13.6
八丈海区,,合計,727470,100
小笠原海区,1,かじき類,262135,46.6
小笠原海区,2,さんご,111118,19.8
小笠原海区,3,はまだい,61771,11
小笠原海区,,その他,127134,22.6
小笠原海区,,合計,562158,100
,,,,
くらしと統計2024,,,,
農林水産業－３　　水産物生産金額の海区別・種類別構成比（令和3年）,,,,
注1）　 生産金額上位3位までを掲載,,,,
注2）　 大島海区：大島、利島、新島、神津島　三宅海区：三宅島、御蔵島　八丈海区：八丈島、青ヶ島　,,,,
資料　 都産業労働局「東京都の水産」（令和4年版）より加工,,,,
