地域階層,地域コード,地域,人口（人）
0,13000,総数,14105098
1,13100,区部,9791293
1,13200,市部,4236430
1,13300,郡部,54101
1,13350,島部,23274
2,13101,千代田区,68393
2,13102,中央区,175891
2,13103,港区,266899
2,13104,新宿区,354032
2,13105,文京区,245469
2,13106,台東区,220711
2,13107,墨田区,280989
2,13108,江東区,536787
2,13109,品川区,423239
2,13110,目黒区,285526
2,13111,大田区,745243
2,13112,世田谷区,939548
2,13113,渋谷区,243594
2,13114,中野区,347203
2,13115,杉並区,589242
2,13116,豊島区,306059
2,13117,北区,359348
2,13118,荒川区,220313
2,13119,板橋区,586459
2,13120,練馬区,753257
2,13121,足立区,696439
2,13122,葛飾区,455785
2,13123,江戸川区,690867
2,13201,八王子市,578175
2,13202,立川市,184967
2,13203,武蔵野市,150281
2,13204,三鷹市,195288
2,13205,青梅市,130712
2,13206,府中市,262544
2,13207,昭島市,114876
2,13208,調布市,243752
2,13209,町田市,432259
2,13210,小金井市,127261
2,13211,小平市,200532
2,13212,日野市,190937
2,13213,東村山市,152088
2,13214,国分寺市,131572
2,13215,国立市,76516
2,13218,福生市,55959
2,13219,狛江市,83514
2,13220,東大和市,83681
2,13221,清瀬市,75981
2,13222,東久留米市,114822
2,13223,武蔵村山市,69859
2,13224,多摩市,146121
2,13225,稲城市,94881
2,13227,羽村市,53959
2,13228,あきる野市,78513
2,13229,西東京市,207380
2,13303,瑞穂町,31227
2,13305,日の出町,16664
2,13307,檜原村,1866
2,13308,奥多摩町,4344
2,13361,大島町,6655
2,13362,利島村,331
2,13363,新島村,2253
2,13364,神津島村,1742
2,13381,三宅村,2139
2,13382,御蔵島村,301
2,13401,八丈町,6760
2,13402,青ヶ島村,162
2,13421,小笠原村,2931
,,,
くらしと統計2024,,,
人口・世帯－４　地域別人口（推計）（令和６年１月１日現在）,,,
資料　都総務局統計部「東京都の人口（推計）」（令和６年1月1日現在）,,,
