年,月,電力需要実績（千kWh)
2022,4,5913316
2022,5,5321958
2022,6,5651238
2022,7,6866754
2022,8,7548199
2022,9,6839096
2022,10,5678644
2022,11,5438678
2022,12,5999344
2023,1,6978873
2023,2,7079659
2023,3,5958418
,,
,,
くらしと統計2024,,
電気・水道－１　月別電力需要実績（令和4年度）,,
資料  資源エネルギー庁「電力調査統計」,,
