区分,18歳,19歳,20歳,21～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳以上,全体
投票率（％）,42.7,32.63,28.71,24.49,26.29,32.19,36.08,39.66,42.46,45.22,48.4,51.73,55.81,50.5,42.39
,,,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,,,
選挙－２　都議会議員選挙年代別推定投票率（令和3年7月4日）,,,,,,,,,,,,,,,
注）　全体投票率は確定値,,,,,,,,,,,,,,,
資料　都選挙管理委員会ホームページ,,,,,,,,,,,,,,,
