年次,完全失業率（％）,有効求人倍率（倍）
2007,3.8,1.38
2008,3.8,1.25
2009,4.7,0.67
2010,5.5,0.65
2011,4.8,0.82
2012,4.5,1.08
2013,4.2,1.33
2014,3.8,1.57
2015,3.6,1.75
2016,3.2,2.01
2017,2.9,2.08
2018,2.6,2.13
2019,2.3,2.1
2020,3.1,1.45
2021,3,1.19
2022,2.6,1.49
,,
くらしと統計2024,,
労働－5　完全失業率と有効求人倍率の推移,,
資料  完全失業率：都総務局統計部「東京の労働力　労働力調査結果」、有効求人倍率：厚生労働省東京労働局「職業安定業務統計」,,
