主なサービス産業,全国年間売上高（百万円）,東京都年間売上高（百万円）,全国に占める都の割合（％）
ソフトウェア業,11938177,6142700,51.5
広告業,8101133,5255718,64.9
情報処理・提供サービス業,5471607,3394305,62
各種物品賃貸業,3825556,2024270,52.9
インターネット附随サービス業,1753076,1490975,85
,,,
くらしと統計2024,,,
卸売業・小売業・サービス業－２　主なサービス産業の年間売上高（平成30年）１,,,
注1）　特定サービス産業実態調査の調査対象業種（28業種）のうち、東京都における主たる業務の年間売上高が大きい５業種を掲載,,,
注2）　主たる業務の年間売上高：１事業所における全業務の売上高のうち売上高が最も高い業務の売上高,,,
注3）　ソフトウェア・プロダクツ：業務用パッケージ、ゲームソフト、コンピュータ基本ソフト,,,
資料　経済産業省「平成30年特定サービス産業実態調査（確報）」（令和元年9月）,,,
