スポーツの種類,2011年（％）,2016年（％）,2021年（％）
ウォーキング・軽い体操,38.7,47.5,52.3
ジョギング・マラソン,12.7,15.1,15.3
器具を使ったトレーニング,11.9,16.5,15
サイクリング,15.4,11.8,14.4
登山・ハイキング,14,15,9.8
水泳,14.3,15.8,8.6
ヨガ,…,…,8.4
ゴルフ,10.1,9.4,7.4
バドミントン,4.8,6.5,7.1
野球,7,6.8,6.7
ボウリング,13.6,13,6.6
卓球,5.1,8.3,6.2
つり,6.4,6.9,5
サッカー,7,6.7,4.9
スキー・スノーボード,6.6,8.3,4.4
テニス,6.1,6.8,3.6
バレーボール,3.1,3.5,2.9
バスケットボール,3.5,4,2.7
ソフトボール,1.8,1.7,1
剣道,1,0.6,0.5
柔道,0.4,0.5,0.2
グラウンドゴルフ,…,…,0.9
,,,
くらしと統計2024,,,
スポーツ－１　スポーツの種類別行動者率の推移,,,
注1）  行動者率：1年間にスポーツを行った人（10歳以上）の割合,,,
注2）  いずれかの調査年で行動者率が5％以上の種類を掲載,,,
注3）  ヨガは令和3年に回答項目に追加,,,
資料　総務省統計局「社会生活基本調査」,,,
