期日,2007/4/8,2011/4/10,2012/12/16,2014/2/9,2016/7/31,2020/7/5
投票者数（人）,5565127,6072604,6647744,4930251,6620407,6209940
投票率（％）,54.35,57.8,62.6,46.14,59.73,55
,,,,,,
くらしと統計2024,,,,,,
選挙－１　都知事選挙の投票者数と投票率の推移,,,,,,
資料　都総務局統計部「東京都統計年鑑」（都選挙管理委員会事務局提供資料）,,,,,,
