年,総住宅数（戸）,空き家数（戸）,空き家率（％）
1973,3795600,213400,5.6
1978,4239200,341800,8.1
1983,4528200,395200,8.7
1988,4817600,411100,8.5
1993,5299500,527100,9.9
1998,5669500,624400,11
2003,6186000,665400,10.8
2008,6780500,750300,11.1
2013,7359400,817100,11.1
2018,7671600,809900,10.6
,,,
くらしと統計2024,,,
住宅－１　総住宅数、空き家数及び空き家率の推移,,,
資料　総務省統計局「住宅・土地統計調査」,,,
