ごみ排出量・リサイクル率,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度
ごみ排出量(t),4571648,4517456,4519537,4450835,4437688,4413966,4439794,4280679,4216930
リサイクル率(%),23.4,23.2,23,22.7,22.5,22,23.1,25.1,25.2
,,,,,,,,,
くらしと統計2024,,,,,,,,,
医療・衛生・環境－３  ごみの排出量とリサイクル率の推移,,,,,,,,,
注1）　ごみ排出量：収集量＋持込量＋集団回収量＋ピックアップ回収量,,,,,,,,,
注2）　リサイクル率：（資源ごみ収集・持込量＋処理過程資源化量＋集団回収量＋ピックアップ回収量）÷（収集量＋持込量＋集団回収量＋ピックアップ回収量）,,,,,,,,,
資料　都環境局「東京都区市町村清掃事業年報」,,,,,,,,,
