学校種,国公立学校数（校）,私立学校数（校）,学校数計（校）,全国比（％）,全国数(校)
幼稚園,160,799,959,10.9,8837
小学校,1268,55,1323,7,18980
中学校,613,187,800,8,9944
高等学校（全日制・定時制）,192,237,429,9,4791
専修学校,9,380,389,12.9,3020
大学,14,130,144,17.8,810
,,,,,
くらしと統計2024,,,,,
教育・文化－１　学校種別国公立・私立学校数と全国比（令和５年度）,,,,,
資料　都総務局統計部ホームページ「令和５年度 学校基本統計（学校基本調査報告）」（令和６年１月）、文部科学省ホームページ「学校基本調査－令和５年度　結果の概要－」（令和５年12月）,,,,,
