事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成17,2005,年平均,19.6,161.9,147.4,14.5,14.9,89.9,85.5,4.4
30人以上,TL 調査産業計,平成18,2006,年平均,19.6,163.8,148.5,15.3,14.8,91.3,87.1,4.2
30人以上,TL 調査産業計,平成19,2007,年平均,19.7,165,149.3,15.7,15.6,96.2,91.9,4.3
30人以上,TL 調査産業計,平成20,2008,年平均,19.6,164.1,148.9,15.2,15.2,94.9,90.7,4.2
30人以上,TL 調査産業計,平成21,2009,年平均,19.4,161.3,146.7,14.6,13.9,84.7,81.3,3.4
30人以上,TL 調査産業計,平成21,2009,1月,18.3,153.4,138.7,14.7,13.8,83.6,79.7,3.9
30人以上,TL 調査産業計,平成21,2009,2月,18.9,157.1,142.3,14.8,13.5,82.5,79.2,3.3
30人以上,TL 調査産業計,平成21,2009,3月,19.6,164,148.4,15.6,13.3,81,77.8,3.2
30人以上,TL 調査産業計,平成21,2009,4月,20.5,169.9,154.5,15.4,13.9,84.5,81.2,3.3
30人以上,TL 調査産業計,平成21,2009,5月,18.3,153.3,139.2,14.1,13.9,84.6,81.1,3.5
30人以上,TL 調査産業計,平成21,2009,6月,20.4,167.8,153.9,13.9,14.2,85.7,82.7,3
30人以上,TL 調査産業計,平成21,2009,7月,20.8,172.2,157.4,14.8,14.5,87,83.9,3.1
30人以上,TL 調査産業計,平成21,2009,8月,19.1,158.3,144.7,13.6,13.6,83.3,80.3,3
30人以上,TL 調査産業計,平成21,2009,9月,18.8,157,143,14,13.8,84.6,81.5,3.1
30人以上,TL 調査産業計,平成21,2009,10月,19.5,162.7,147.8,14.9,14.3,87.2,83.7,3.5
30人以上,TL 調査産業計,平成21,2009,11月,19.3,160.3,145.7,14.6,14,85.2,81.7,3.5
30人以上,TL 調査産業計,平成21,2009,12月,19.1,158.9,144.2,14.7,14.1,86.6,82.7,3.9
30人以上,D 鉱業,平成17,2005,年平均,19.3,149.1,144.7,4.4,4,23,23,0
30人以上,D 鉱業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
30人以上,D 鉱業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
30人以上,D 鉱業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
30人以上,D 鉱業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
30人以上,D 鉱業,平成21,2009,1月,18.5,148.8,135.3,13.5,9.8,59.4,56.3,3.1
30人以上,D 鉱業,平成21,2009,2月,18.4,147.9,134.2,13.7,10.4,61.7,60.6,1.1
30人以上,D 鉱業,平成21,2009,3月,19.8,156.8,142.5,14.3,12.5,68.6,46.3,22.3
30人以上,D 鉱業,平成21,2009,4月,20.3,160.7,145.1,15.6,9.4,52.2,52.1,0.1
30人以上,D 鉱業,平成21,2009,5月,16.9,133.3,121,12.3,10.2,49.7,49.5,0.2
30人以上,D 鉱業,平成21,2009,6月,20.3,158.7,146.4,12.3,12.1,69,64.8,4.2
30人以上,D 鉱業,平成21,2009,7月,20.6,162.7,149,13.7,16.8,100.6,91.8,8.8
30人以上,D 鉱業,平成21,2009,8月,18.4,143,132.6,10.4,10.7,60,59.2,0.8
30人以上,D 鉱業,平成21,2009,9月,17.7,140.3,129.3,11,9.7,55.7,54.9,0.8
30人以上,D 鉱業,平成21,2009,10月,19.4,154.4,141.2,13.2,8.6,58.2,49.2,9
30人以上,D 鉱業,平成21,2009,11月,18.1,142.4,131.1,11.3,6.8,37.9,37.2,0.7
30人以上,D 鉱業,平成21,2009,12月,17.6,137.9,128,9.9,7.7,43.5,43,0.5
30人以上,E 建設業,平成17,2005,年平均,20.1,166.2,153.7,12.5,21.1,157.1,154.6,2.5
30人以上,E 建設業,平成18,2006,年平均,20.5,172.5,156.8,15.7,14.3,83.2,81.6,1.6
30人以上,E 建設業,平成19,2007,年平均,20.5,174.1,157.4,16.7,17.5,129,126,3
30人以上,E 建設業,平成20,2008,年平均,20.4,173.6,156.2,17.4,17.3,125.1,122,3.1
30人以上,E 建設業,平成21,2009,年平均,19.8,170.5,151.8,18.7,17.1,115.8,113,2.8
30人以上,E 建設業,平成21,2009,1月,18.3,160.1,141.9,18.2,19,115.8,106.5,9.3
30人以上,E 建設業,平成21,2009,2月,19.7,171,150.5,20.5,15.9,100.7,98.5,2.2
30人以上,E 建設業,平成21,2009,3月,19.8,172.7,151.5,21.2,19.1,139.6,137.4,2.2
