産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.32,1.4,1.11,1.32
鉱業,1.13,1.57,1.13,1.57
建設業,0.66,0.89,0.44,0.85
製造業,0.66,0.96,0.52,0.92
電気・ガス・熱供給・水道業,0.25,0.68,0.27,0.75
情報通信業,0.39,0.92,0.31,0.84
運輸業,2.73,1.14,1.82,1.14
卸売・小売業,1.11,1.32,0.78,0.91
金融・保険業,1.18,1.65,1.19,1.78
不動産業,1.05,1.67,1.08,0.83
"飲食店,宿泊業",2.92,2.32,2.35,2.48
"医療,福祉",1.72,2.44,2.04,3.01
"教育,学習支援業",1.18,0.45,1.33,0.47
複合サービス事業,0.92,4.08,1.14,5.38
サービス業（他に分類されないもの）,1.43,1.43,1.53,1.51
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,
第４表  産業別労働異動率,,,,
