事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成21,2009,6月,100.6,103.8,99.1,100.9,103.1,108,111.3,106,97.2,98.2,73.2,105.3,94.8,121.9,96.8
30人以上,平成21,2009,7月,100.2,103.4,99.1,100.3,103.3,109.3,109.6,102,99,96.3,75.2,108.4,95.1,116.8,97
30人以上,平成21,2009,8月,100.8,100.2,97.6,101.1,102.2,108.9,110.4,105.5,99,93.8,72.2,105,92.1,119.5,99.5
30人以上,平成21,2009,9月,100,100.8,100,100.8,103.6,108.4,111.8,102.9,98.2,96.3,69.5,106.7,93.5,119,96.1
30人以上,平成21,2009,10月,100.2,101.1,97.8,100,104.8,107.3,108.1,101.3,97.1,94,77.7,105.4,95.3,132.4,100.4
30人以上,平成21,2009,11月,100.1,98,97.5,100.4,102.9,108.1,109.9,103.4,98.3,94,74.2,104,92.2,115.5,98.9
30人以上,平成21,2009,12月,100.5,98.1,97.4,100.6,102.8,109.2,111,104.6,99.1,94.9,70.7,101.4,93.2,117.8,99.2
30人以上,平成16,2004,年平均（前年比（％））,2.8,8.9,1,-0.9,19.7,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均（前年比（％））,-0.5,-9.2,3.3,-7.7,-7.1,－,－,－,－,－,－,－,－,－,－
30人以上,平成18,2006,年平均（前年比（％））,-0.8,-0.9,-3.5,-0.5,0,-0.5,0.3,2.5,-3.6,1.5,-8.1,-0.7,1,-3.4,-3.1
30人以上,平成19,2007,年平均（前年比（％））,1.4,-4.1,0.1,1.1,1.4,4.3,2.4,-0.7,3.6,-0.1,-6,10.2,-2.7,1.3,1.7
30人以上,平成20,2008,年平均（前年比（％））,0.9,3.8,0.4,1.5,5.2,3.4,3.4,3.6,1.1,-1.7,-10.2,-3,-3.7,20.3,1.1
30人以上,平成21,2009,年平均（前年比（％））,-1.2,4.4,1.2,-1.4,-3.3,0.7,3.7,-1.4,-3,-3.9,-6.6,-0.8,-0.2,2.1,-1.5
30人以上,平成21,2009,1月（前年同月比（％））,-2.4,12.5,0,0.1,-1,0.8,5.9,-2.6,-4.7,-3.5,-20.6,-3.9,-0.6,-1.3,-1.6
30人以上,平成21,2009,2月（前年同月比（％））,-1.7,10.1,-0.3,-1.9,-1.8,1.9,5.3,1.1,-5.3,-3.4,-12.5,-3.7,-2.3,-1.2,-1.4
30人以上,平成21,2009,3月（前年同月比（％））,-1,9.6,2,0.1,-1.7,2.1,2,-0.2,-2.1,-4.2,-9.6,-2.2,-2.2,3,-1.1
