事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成17,2005,年平均,19.8,163.2,150.1,13.1,15.1,91.3,87.6,3.7
５人以上,TL 調査産業計,平成18,2006,年平均,19.9,165.1,151.3,13.8,14.7,90.2,86.8,3.4
５人以上,TL 調査産業計,平成19,2007,年平均,20,165.8,151.8,14,14.6,89.7,86.5,3.2
５人以上,TL 調査産業計,平成20,2008,年平均,19.8,164.6,150.8,13.8,14.5,88.7,85.3,3.4
５人以上,TL 調査産業計,平成21,2009,年平均,19.6,162.2,148.8,13.4,13.8,83.2,80.3,2.9
５人以上,TL 調査産業計,平成21,2009,1月,18.3,152.5,139,13.5,13.4,80.8,77.4,3.4
５人以上,TL 調査産業計,平成21,2009,2月,19.3,159.5,145.8,13.7,13.4,81,78.1,2.9
５人以上,TL 調査産業計,平成21,2009,3月,19.8,164.1,149.8,14.3,13.4,80.8,77.9,2.9
５人以上,TL 調査産業計,平成21,2009,4月,20.7,170.8,156.6,14.2,14,84.2,81.2,3
５人以上,TL 調査産業計,平成21,2009,5月,18.5,153.9,140.9,13,13.7,82.5,79.6,2.9
５人以上,TL 調査産業計,平成21,2009,6月,20.6,169.1,156.2,12.9,14.2,84.1,81.5,2.6
５人以上,TL 調査産業計,平成21,2009,7月,20.9,171.8,158.3,13.5,14.4,87.5,84.5,3
５人以上,TL 調査産業計,平成21,2009,8月,19.4,159.5,147,12.5,13.6,83,80.2,2.8
５人以上,TL 調査産業計,平成21,2009,9月,19.2,159.2,146.4,12.8,13.7,83,80.3,2.7
５人以上,TL 調査産業計,平成21,2009,10月,19.7,162.7,149.2,13.5,13.9,84.2,81.2,3
５人以上,TL 調査産業計,平成21,2009,11月,19.7,162.5,149.1,13.4,13.9,83.5,80.5,3
５人以上,TL 調査産業計,平成21,2009,12月,19.4,160.6,147.1,13.5,13.9,84.9,81.6,3.3
５人以上,D 鉱業,平成17,2005,年平均,19.4,146.8,143.2,3.6,4,23,23,0
５人以上,D 鉱業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
５人以上,D 鉱業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
５人以上,D 鉱業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
５人以上,D 鉱業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
５人以上,D 鉱業,平成21,2009,1月,18.5,148.8,135.3,13.5,9.8,59.4,56.3,3.1
５人以上,D 鉱業,平成21,2009,2月,18.4,147.9,134.2,13.7,10.4,61.7,60.6,1.1
５人以上,D 鉱業,平成21,2009,3月,19.8,156.8,142.5,14.3,12.5,68.6,46.3,22.3
５人以上,D 鉱業,平成21,2009,4月,20.3,160.7,145.1,15.6,9.4,52.2,52.1,0.1
５人以上,D 鉱業,平成21,2009,5月,16.9,133.3,121,12.3,10.2,49.7,49.5,0.2
５人以上,D 鉱業,平成21,2009,6月,20.3,158.7,146.4,12.3,12.1,69,64.8,4.2
５人以上,D 鉱業,平成21,2009,7月,20.6,162.7,149,13.7,16.8,100.6,91.8,8.8
５人以上,D 鉱業,平成21,2009,8月,18.4,143,132.6,10.4,10.7,60,59.2,0.8
５人以上,D 鉱業,平成21,2009,9月,17.7,140.3,129.3,11,9.7,55.7,54.9,0.8
５人以上,D 鉱業,平成21,2009,10月,19.4,154.4,141.2,13.2,8.6,58.2,49.2,9
５人以上,D 鉱業,平成21,2009,11月,18.1,142.4,131.1,11.3,6.8,37.9,37.2,0.7
５人以上,D 鉱業,平成21,2009,12月,17.6,137.9,128,9.9,7.7,43.5,43,0.5
５人以上,E 建設業,平成17,2005,年平均,20.7,170.3,158.2,12.1,18,132.4,127.6,4.8
５人以上,E 建設業,平成18,2006,年平均,21.1,174.5,160.7,13.8,16.9,119.9,115.9,4
５人以上,E 建設業,平成19,2007,年平均,20.9,174.3,159.5,14.8,16.3,117,113.6,3.4
５人以上,E 建設業,平成20,2008,年平均,20.7,174.2,158.3,15.9,16.1,111.9,108.3,3.6
５人以上,E 建設業,平成21,2009,年平均,20.3,171,155.4,15.6,16.9,110.9,108.7,2.2
５人以上,E 建設業,平成21,2009,1月,18.3,156.3,141,15.3,16.9,102.7,96.5,6.2
５人以上,E 建設業,平成21,2009,2月,20.5,174,156.5,17.5,16.2,103.5,101.4,2.1
５人以上,E 建設業,平成21,2009,3月,20.3,173.1,154.9,18.2,17.1,114.9,112.8,2.1
５人以上,E 建設業,平成21,2009,4月,21.3,180.2,163.2,17,20.8,136.6,133.3,3.3
５人以上,E 建設業,平成21,2009,5月,18.9,159,144.1,14.9,14.2,96,94.5,1.5
５人以上,E 建設業,平成21,2009,6月,21.3,179.2,164.1,15.1,18.7,124.1,122.1,2
５人以上,E 建設業,平成21,2009,7月,21.7,181.4,166.7,14.7,18.3,123.9,122.5,1.4
５人以上,E 建設業,平成21,2009,8月,19.8,165.2,150.9,14.3,16.2,108.9,107.4,1.5
５人以上,E 建設業,平成21,2009,9月,20.2,170.7,155,15.7,16.3,107.6,106.3,1.3
５人以上,E 建設業,平成21,2009,10月,20,169.1,153.9,15.2,16.9,112.7,111.2,1.5
５人以上,E 建設業,平成21,2009,11月,20.8,174.2,159.3,14.9,16.2,104.2,102.3,1.9
５人以上,E 建設業,平成21,2009,12月,20,168.5,154.5,14,16.5,107.3,106.1,1.2
５人以上,F 製造業,平成17,2005,年平均,19.7,165.5,151.7,13.8,17.8,130.4,124.4,6
５人以上,F 製造業,平成18,2006,年平均,19.8,166.9,152.8,14.1,18.1,132.2,125.8,6.4
