事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,96.6,108.2,95.4,105,86.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,98.3,106,96.3,105.6,104.8,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,99.5,101.3,98.3,99.1,99.5,99.1,99.8,102,96.9,107.7,92.6,102.9,100.43,100.6,96.7
５人以上,平成19,2007,年平均,99.5,102.3,99.3,98.4,99.2,101.5,101.6,101.2,98.7,107.2,87.4,106.1,96.7,99.4,98
５人以上,平成20,2008,年平均,98.2,104.2,97.5,98.3,101.3,102.9,102.7,101.9,98.8,99.9,78.8,105.5,90.8,108.3,97.5
５人以上,平成21,2009,年平均,98.6,107.8,99.2,98,105.5,105.1,103,102.2,98.8,99.5,81.2,108.6,90,110.7,98.5
５人以上,平成21,2009,1月,97,112.9,98.2,97.7,104,103.4,101.7,99.2,97.5,97,79,105.7,90.1,109.5,97.5
５人以上,平成21,2009,2月,98.3,110.1,99,97.8,104.3,105.5,103,102.5,96.9,96.6,79.2,106.5,90,107.5,98.8
５人以上,平成21,2009,3月,99,109.1,100.3,98.2,106.2,106.5,101.8,102.3,99.4,96.7,81.9,106.3,92.1,107.5,99.5
５人以上,平成21,2009,4月,99.4,110.4,100.3,98.3,107.4,105.1,103.8,104.2,100,97.7,82.3,108.8,92,114.7,98.4
５人以上,平成21,2009,5月,96.6,109.2,94.6,95.6,103.4,102.7,102.3,99.7,96,98.2,77.6,107.3,91.6,109.4,96.3
５人以上,平成21,2009,6月,98.5,107.8,99,97.6,104.2,104.4,103.1,103.6,97.6,98.8,78.5,107.8,90.8,111.3,98.2
