産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.91,1.43,1.77,1.26
鉱業,1.17,1.99,1.17,1.99
建設業,1,0.84,0.7,0.94
製造業,1.48,1.06,1.62,1.06
電気・ガス・熱供給・水道業,0.27,0.41,0.25,0.45
情報通信業,0.45,1,0.32,0.95
運輸業,2.13,1.6,1.75,1.49
卸売・小売業,2.51,1.49,2.85,1.11
金融・保険業,1.54,0.91,1.6,0.79
不動産業,1.54,0.82,0.87,0.93
"飲食店,宿泊業",3.67,2.89,3.36,3.28
"医療,福祉",1.64,1.53,1.71,1.63
"教育,学習支援業",1.7,1.2,1.64,1.08
複合サービス事業,3.09,0.1,3.55,0.14
サービス業（他に分類されないもの）,1.91,1.54,1.84,1.42
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,
第４表  産業別労働異動率,,,,
