事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成17,2005,年平均,20.4,166.5,156.5,10,15.2,92.7,89.9,2.8
５～29人,平成18,2006,年平均,20.7,168.6,158.2,10.4,14.6,89,86.5,2.5
５～29人,平成19,2007,年平均,20.6,167.7,158.1,9.6,13.7,83.6,81.4,2.2
５～29人,平成20,2008,年平均,20.4,165.9,155.9,10,13.9,83.3,80.6,2.7
５～29人,平成21,2009,年平均,20.3,164.7,154.6,10.1,13.7,81.8,79.3,2.5
５～29人,平成21,2009,1月,18.3,150.1,139.9,10.2,12.9,77.8,75,2.8
５～29人,平成21,2009,2月,20.4,166.2,155.3,10.9,13.4,79.4,76.9,2.5
５～29人,平成21,2009,3月,20.2,164.4,153.6,10.8,13.6,80.5,78,2.5
５～29人,平成21,2009,4月,21.2,173.2,162.3,10.9,14,84,81.2,2.8
５～29人,平成21,2009,5月,19.1,155.1,145.4,9.7,13.5,80.5,78.1,2.4
５～29人,平成21,2009,6月,21.4,172.8,162.8,10,14.2,82.6,80.4,2.2
５～29人,平成21,2009,7月,21.1,170.8,160.9,9.9,14.3,88.1,85.2,2.9
５～29人,平成21,2009,8月,20,162.5,153.1,9.4,13.7,82.5,80,2.5
５～29人,平成21,2009,9月,20.4,165.3,155.7,9.6,13.6,81.2,78.9,2.3
５～29人,平成21,2009,10月,20,162.6,152.9,9.7,13.5,80.9,78.5,2.4
５～29人,平成21,2009,11月,20.8,168.5,158.4,10.1,13.7,81.8,79.3,2.5
５～29人,平成21,2009,12月,20.3,165.4,155.2,10.2,13.8,83.2,80.5,2.7
30～99人,平成17,2005,年平均,19.6,161.8,148.7,13.1,14.6,85.4,81.5,3.9
30～99人,平成18,2006,年平均,19.8,164.7,150.6,14.1,14.6,87.9,84.3,3.6
30～99人,平成19,2007,年平均,19.9,165.8,151.3,14.5,15.7,93.3,90,3.3
30～99人,平成20,2008,年平均,19.8,164.2,150.8,13.4,15.1,90.3,86.9,3.4
30～99人,平成21,2009,年平均,19.6,161.2,149,12.2,13.5,78.2,75,3.2
30～99人,平成21,2009,1月,18.3,152.2,139.5,12.7,13.6,76.9,73.4,3.5
30～99人,平成21,2009,2月,19.3,157,145,12,13,75.9,72.9,3
30～99人,平成21,2009,3月,19.8,163.8,150.6,13.2,12.9,74.4,71.2,3.2
30～99人,平成21,2009,4月,20.7,169.6,156.7,12.9,13.2,76.7,73.7,3
30～99人,平成21,2009,5月,18.5,153.7,141.9,11.8,13.5,78.7,75.2,3.5
30～99人,平成21,2009,6月,20.7,168.8,157.6,11.2,13.8,78.7,76,2.7
30～99人,平成21,2009,7月,20.8,171.7,159.2,12.5,14.2,80.4,77.1,3.3
30～99人,平成21,2009,8月,19,155.6,144.1,11.5,12.8,75.2,72.3,2.9
30～99人,平成21,2009,9月,19.2,158.7,146.9,11.8,13.5,79.2,76.3,2.9
30～99人,平成21,2009,10月,19.6,162.5,149.6,12.9,14.1,82.1,78.6,3.5
30～99人,平成21,2009,11月,19.6,160.5,148.8,11.7,13.7,79.4,76.3,3.1
30～99人,平成21,2009,12月,19.4,159.4,147.2,12.2,13.7,80.6,76.9,3.7
100～499人,平成17,2005,年平均,19.5,162.6,147.7,14.9,15.4,94.6,90.4,4.2
100～499人,平成18,2006,年平均,19.5,163.9,148.1,15.8,15.1,95.5,91.3,4.2
100～499人,平成19,2007,年平均,19.7,165.2,149.6,15.6,15.9,105.8,100.7,5.1
100～499人,平成20,2008,年平均,19.7,165.1,149.5,15.6,15.8,106.2,101.7,4.5
100～499人,平成21,2009,年平均,19.3,162.1,146.4,15.7,14.6,93.2,89.4,3.8
100～499人,平成21,2009,1月,18.3,154.1,138.7,15.4,14.3,92.7,87.9,4.8
