産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.48,1.58,1.11,1.27
鉱業,0.65,1.26,0.65,1.26
建設業,0.82,0.88,0.72,0.54
製造業,0.64,0.89,0.57,0.83
電気・ガス・熱供給・水道業,1.72,0.79,1.75,0.63
情報通信業,0.5,0.79,0.49,0.64
運輸業,0.9,1.51,0.58,1.48
卸売・小売業,1.2,1.51,0.89,1.12
金融・保険業,1.65,1.3,1.77,1.28
不動産業,1.63,1.54,1.18,1.27
"飲食店,宿泊業",4.53,3.43,1.78,1.32
"医療,福祉",2.5,1.9,2.67,1.87
"教育,学習支援業",0.56,0.5,0.34,0.3
複合サービス事業,0.19,0.32,0.17,0.06
サービス業（他に分類されないもの）,1.58,2.15,1.59,2.31
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（確報）,,,,
第４表  産業別労働異動率,,,,
