規模,産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,調査産業計,358983,439070,236861,332283,402425,225325,311264,21019,26700,36645,11536
５人以上,鉱業,472520,514606,314244,469910,511481,313570,450166,19744,2610,3125,674
５人以上,建設業,449675,485089,268661,396103,426559,240429,367725,28378,53572,58530,28232
５人以上,製造業,398175,445937,264279,383525,429422,254855,362765,20760,14650,16515,9424
５人以上,電気・ガス・熱供給・水道業,511237,534600,357493,510014,533225,357270,438141,71873,1223,1375,223
５人以上,情報通信業,447843,490111,333180,398369,430051,312423,358760,39609,49474,60060,20757
５人以上,運輸業,384145,412951,265206,361181,387317,253265,321373,39808,22964,25634,11941
５人以上,卸売・小売業,339068,433979,210705,308174,388152,200009,294724,13450,30894,45827,10696
５人以上,金融・保険業,549002,682440,351229,478439,595177,305417,447424,31015,70563,87263,45812
５人以上,不動産業,371102,438374,224819,344196,403064,216187,326036,18160,26906,35310,8632
５人以上,"飲食店,宿泊業",157039,210496,108410,149597,201577,102311,140740,8857,7442,8919,6099
５人以上,"医療,福祉",294501,398399,258916,289978,394537,254167,274721,15257,4523,3862,4749
５人以上,"教育,学習支援業",343304,419815,259053,321665,386865,249869,315040,6625,21639,32950,9184
５人以上,複合サービス事業,371519,444226,233926,369318,442325,231156,346145,23173,2201,1901,2770
５人以上,サービス業（他に分類されないもの）,345823,422577,237991,327434,396916,229819,306892,20542,18389,25661,8172
30人以上,調査産業計,403620,483419,268796,368191,436032,253571,342317,25874,35429,47387,15225
30人以上,鉱業,472520,514606,314244,469910,511481,313570,450166,19744,2610,3125,674
30人以上,建設業,507730,539762,294159,431950,458522,254784,393241,38709,75780,81240,39375
30人以上,製造業,428333,474865,286966,409846,454371,274573,385434,24412,18487,20494,12393
30人以上,電気・ガス・熱供給・水道業,524670,546015,376427,524623,545961,376427,447227,77396,47,54,0
30人以上,情報通信業,465159,508168,345213,409806,441074,322606,367429,42377,55353,67094,22607
30人以上,運輸業,399623,427103,286179,372155,396085,273368,330666,41489,27468,31018,12811
30人以上,卸売・小売業,395145,498245,241348,351766,435607,226699,333823,17943,43379,62638,14649
30人以上,金融・保険業,581431,718403,369546,499116,617749,315599,466912,32204,82315,100654,53947
30人以上,不動産業,378902,448954,229208,345571,405022,218531,322862,22709,33331,43932,10677
30人以上,"飲食店,宿泊業",199816,263160,141819,181106,242360,125023,169575,11531,18710,20800,16796
30人以上,"医療,福祉",303471,389252,273033,302653,388631,272146,283351,19302,818,621,887
30人以上,"教育,学習支援業",387412,456368,298489,359056,416223,285336,351714,7342,28356,40145,13153
30人以上,複合サービス事業,400114,455973,239057,397605,454003,234994,372259,25346,2509,1970,4063
30人以上,サービス業（他に分類されないもの）,363899,446896,245704,339555,412860,235162,316028,23527,24344,34036,10542
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,,
第１表  産業、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,,
