事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,94.9,120.3,93.3,103.8,90.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,96.1,109.7,94.4,104.4,109.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.8,112,97,100.7,99,99.5,100.3,103.4,100.6,108.3,93.4,105.2,100.5,101.3,98.5
５人以上,平成19,2007,年平均,100.8,104.5,99.6,99.7,99.3,104.1,102.6,101.5,101.6,110.2,90.3,105.2,97.4,97.2,100.2
５人以上,平成20,2008,年平均,100.8,113.6,97.8,100.5,102.6,103.9,106.6,104,105.5,99.4,84.3,105.5,93.9,111.4,100.6
５人以上,平成21,2009,年平均,96.9,113.7,99.1,96.1,102.7,106.4,101.3,98.8,96.7,96.5,81.7,104.1,89.8,112.6,96.8
５人以上,平成21,2009,1月,82.4,81.6,83.7,79.3,76.9,93.2,91.5,82.3,78.2,85.2,79.8,94,68.4,89.1,83.8
５人以上,平成21,2009,2月,80.9,79.6,83.5,77.3,77.4,85.2,86.8,83.3,85.7,79.4,73.9,86.6,70.4,84.3,82.8
５人以上,平成21,2009,3月,84.7,85.6,86.2,83.1,80.6,89.8,88.1,84.8,82.1,83.9,77.8,95.1,81.2,87.8,87.3
５人以上,平成21,2009,4月,83.2,80.2,90.5,81.5,81.6,87.8,89.2,84.9,79.1,79.6,77.6,89.6,73.6,91,85.2
５人以上,平成21,2009,5月,82.9,80.6,85,80,76.3,84.7,90.9,83.9,95.4,78.6,73,90.6,72,85.9,83.2
５人以上,平成21,2009,6月,140.1,223.5,137.3,123.6,225.3,174.3,132.7,137.3,160.9,146.8,84.8,141.7,148.4,222.6,135
５人以上,平成21,2009,7月,107.4,120.6,114.8,126.9,78.3,107.6,118,117.2,87.7,99.7,96.6,106.6,94.8,92.4,104.6
５人以上,平成21,2009,8月,81.4,90.2,91,79.5,75.9,85.6,86.1,84.6,76.5,86,80.5,87.9,65.5,85.3,83.6
５人以上,平成21,2009,9月,80,80.4,85.5,78.3,77.7,84.7,87.5,82.3,76,85.1,74.6,88.3,67.1,84.5,81.9
５人以上,平成21,2009,10月,80.6,76.9,82.6,78.1,81.2,86,85.4,81.1,76.9,81.4,78.2,88.9,71,94.5,84.3
５人以上,平成21,2009,11月,84.6,73.7,92.7,79.6,77.5,93.3,88.8,88.4,85.6,83.5,79,88.8,69.5,83.9,85.7
５人以上,平成21,2009,12月,174.7,292,155.8,185.4,223.2,204.2,170,175.5,176.3,169.2,104.8,190.9,195.1,250.2,164
５人以上,平成16,2004,年平均（前年比（％））,1.3,-8.8,1.2,0.6,21,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均（前年比（％））,4.1,-8.8,5.9,-4.2,-8.8,－,－,－,－,－,－,－,－,－,－
５人以上,平成18,2006,年平均（前年比（％））,0.8,12,-3,0.7,-1,-0.5,0.3,3.4,0.6,8.3,-6.6,5.2,0.5,1.3,-1.5
５人以上,平成19,2007,年平均（前年比（％））,0,-6.7,2.7,-1,0.3,4.6,2.3,-1.8,1,1.8,-3.3,0,-3.1,-4,1.7
５人以上,平成20,2008,年平均（前年比（％））,0,8.7,-1.8,0.8,3.3,-0.2,3.9,2.5,3.8,-9.8,-6.6,0.3,-3.6,14.6,0.4
