事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成17,2005,年平均,4240153,2779161,1460991,85207,50590,34617,83056,49532,33524,4242304,2780219,1462084,16.1,7.3,32.9
30人以上,TL 調査産業計,平成18,2006,年平均,4307455,2797621,1509834,89274,48200,41075,83870,46568,37302,4312859,2799253,1513607,16.2,7.6,32
30人以上,TL 調査産業計,平成19,2007,年平均,4359575,2860321,1499254,90873,49957,40916,84901,47108,37794,4365547,2863170,1502376,14.5,7.1,28.7
30人以上,TL 調査産業計,平成20,2008,年平均,4439995,2946165,1493830,91110,51235,39876,80597,44757,35840,4450508,2952643,1497866,13.9,6.9,27.7
30人以上,TL 調査産業計,平成21,2009,年平均,4744230,2998797,1745433,96272,53860,42412,95174,51696,43478,4745328,3000961,1744367,15.9,8.3,29.1
30人以上,TL 調査産業計,平成21,2009,1月,4730695,3014886,1715809,52604,25389,27215,60133,28862,31271,4723166,3011413,1711753,17,8.8,31.5
30人以上,TL 調査産業計,平成21,2009,2月,4717444,2993841,1723603,65124,30932,34192,63882,30791,33091,4718686,2993982,1724704,16,8.3,29.3
30人以上,TL 調査産業計,平成21,2009,3月,4718686,2991680,1727006,86063,44757,41306,111755,58461,53294,4692994,2977976,1715018,15.7,7.9,29.3
30人以上,TL 調査産業計,平成21,2009,4月,4692994,2964723,1728271,345727,202315,143412,229338,127667,101671,4809383,3039371,1770012,15.3,8,27.9
30人以上,TL 調査産業計,平成21,2009,5月,4812088,3047780,1764308,84952,45398,39554,123882,69149,54733,4773158,3024029,1749129,16.3,8.5,29.8
30人以上,TL 調査産業計,平成21,2009,6月,4773158,3024437,1748721,79215,43976,35239,92954,53983,38971,4759419,3014430,1744989,15.4,7.8,28.6
30人以上,TL 調査産業計,平成21,2009,7月,4762435,2998942,1763493,85103,55023,30080,89747,51691,38056,4757791,3002274,1755517,16.1,8.4,29.2
30人以上,TL 調査産業計,平成21,2009,8月,4757792,2989532,1768260,61886,34690,27196,75317,38768,36549,4744361,2985454,1758907,15.4,7.9,28.1
30人以上,TL 調査産業計,平成21,2009,9月,4744361,3002048,1742313,68397,35465,32932,72513,39380,33133,4740245,2998133,1742112,16,8.3,29.3
30人以上,TL 調査産業計,平成21,2009,10月,4740245,2995394,1744851,89769,53591,36178,100167,61133,39034,4729847,2987852,1741995,16.2,8.5,29.3
30人以上,TL 調査産業計,平成21,2009,11月,4729848,2970635,1759213,83607,47481,36126,59493,31102,28391,4753962,2987014,1766948,15.6,8.2,28.1
30人以上,TL 調査産業計,平成21,2009,12月,4751013,2991665,1759348,52820,27302,25518,62912,29370,33542,4740921,2989597,1751324,15.7,8.4,28.3
