事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成20,2008,年平均,101.8,102.4,100,100.4,103.9,103.4,107.9,105.2,105.6,98.5,81.6,102.9,98,115.3,100.7
30人以上,平成21,2009,年平均,97.8,103.7,103.9,95.5,104.8,106.5,104.1,99.6,95.5,93.3,71.9,99.3,94,120.9,96.6
30人以上,平成21,2009,1月,80.6,73.9,82.4,76.2,77.6,92.5,93.7,79.1,77.1,82.1,65.8,90.1,69.1,94.6,80.5
30人以上,平成21,2009,2月,80.1,72.2,84.3,74.4,78.3,84.1,88,82.9,85.7,74.3,64.6,82.1,72.1,89.7,81.1
30人以上,平成21,2009,3月,83.7,77.5,87.2,81.2,81.5,88.2,89.6,84,80,76.9,68.1,91.1,83.9,90.5,85.6
30人以上,平成21,2009,4月,81.6,72.6,93.5,79,82,86.5,90.6,82.3,77.6,75.7,67.1,84.3,74.7,97.8,82.8
30人以上,平成21,2009,5月,82.2,73.1,86.8,77.7,77.2,83.5,93.8,81.3,96.3,75.2,59.9,87.3,73.9,92.3,81.7
30人以上,平成21,2009,6月,148.6,203.6,154.7,128.4,233.6,177.1,134.5,150,160.5,162.2,79,139.3,156.5,251.1,142.4
30人以上,平成21,2009,7月,107.1,110.5,117.7,128.2,79.2,108,118.3,118.4,85.9,92.3,83.1,97.6,99.7,98.8,102.2
30人以上,平成21,2009,8月,80.1,82.4,95.5,76.9,76.8,84.9,88.9,81.3,75.4,79.1,69.2,81.3,67.8,91,82.3
30人以上,平成21,2009,9月,79.1,73.4,87,75.8,78.8,84.2,91,80.3,74.8,77.1,63.3,82.6,69.5,90.3,80.5
30人以上,平成21,2009,10月,80.3,70.7,84.3,76.4,82.9,86,89.2,79.2,76.1,75.2,71,83.2,74.6,101.9,83.8
30人以上,平成21,2009,11月,85.5,67.9,98.3,78,79,94.3,93.6,88.4,86.3,79.8,73.5,81.4,73.5,90.3,86.6
30人以上,平成21,2009,12月,186,269.2,176.3,195.7,232.8,210.4,179.7,188.9,171.8,170.6,98.8,192.3,213.8,264.2,171
30人以上,平成16,2004,年平均（前年比（％））,2.1,2.8,-1.5,-0.7,22.2,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均（前年比（％））,3,-8.6,9.1,-4.9,-10.6,－,－,－,－,－,－,－,－,－,－
30人以上,平成18,2006,年平均（前年比（％））,0.6,1.9,-2.7,0.9,-0.6,-0.9,2.8,3.6,0.6,4.7,-8.2,0.8,1,0.3,-1.5
30人以上,平成19,2007,年平均（前年比（％））,1,-6.6,3.4,-0.4,1,4.3,0.4,-1.4,1.4,-2.8,-1.7,5.1,0.4,-4.1,2.9
30人以上,平成20,2008,年平均（前年比（％））,0.2,7.6,-0.6,-0.1,3.5,0,4.6,3,3.5,-3.2,-9.5,-2.8,-3.4,19.9,-0.7
30人以上,平成21,2009,年平均（前年比（％））,-3.9,1.3,3.9,-4.9,0.9,3,-3.5,-5.3,-9.6,-5.3,-11.9,-3.5,-4.1,4.9,-4.1
30人以上,平成21,2009,1月（前年同月比（％））,-4.4,8.7,1.7,-0.9,5,13.6,9.3,-5.3,-30.6,-1.3,-20.4,8,-2.8,-5.2,-4.2
30人以上,平成21,2009,2月（前年同月比（％））,-6.6,6.5,2.1,-3.6,4.3,0.8,2.1,0.9,-31.5,-2.9,-14.3,-3.6,-2.7,-0.8,-3.3
30人以上,平成21,2009,3月（前年同月比（％））,-6,10.4,-3.2,5.3,2.5,-1.7,-1.1,-10,-11.3,-5.4,-36.3,-6.9,-9.9,3.3,-1.8
30人以上,平成21,2009,4月（前年同月比（％））,-1.9,6.1,13.2,-0.6,5.1,1.9,-2.6,-5.5,1.8,-6.8,-8.5,-2.2,-6.4,1.7,-2.5
30人以上,平成21,2009,5月（前年同月比（％））,-0.2,8,6.4,1,5,-10.3,-3,-3.9,25.4,-15.5,-17.7,6.3,4.8,0.4,-2.2
30人以上,平成21,2009,6月（前年同月比（％））,-13.9,-22.8,4.5,-31.7,3.3,5.1,-9.5,-18.7,-22,8.1,-7.2,-14.6,-19.8,9.7,-5.9
30人以上,平成21,2009,7月（前年同月比（％））,3.4,30.6,2,14.7,6.2,0.7,-4.9,8,4,-21.1,-0.4,-7.5,26.2,3.9,-4.8
30人以上,平成21,2009,8月（前年同月比（％））,-0.4,15.9,15.1,2.1,2.9,1.6,-8.3,-5.2,0.4,3.5,-0.3,2.4,-4.6,4.1,0.7
30人以上,平成21,2009,9月（前年同月比（％））,-5.4,-0.5,7.8,0.9,0.3,-2,3.6,-24.2,0.3,-3.6,0.5,3.3,-0.1,5.4,-1.9
30人以上,平成21,2009,10月（前年同月比（％））,1.9,1.1,5.1,-1.5,2.7,5.5,3.5,0.5,1.6,-1.2,16.4,0.5,0.7,-0.5,1.7
30人以上,平成21,2009,11月（前年同月比（％））,0.9,-18.4,12.7,-5.7,-2,12.9,-6.3,-0.1,10.8,2.6,5.3,-4.5,2.7,5,-6.6
30人以上,平成21,2009,12月（前年同月比（％））,-3.1,13.4,-5.3,-4.6,-6.5,7.1,-9.1,6.7,-12.8,-11.6,-28,-4.9,-5.3,14.1,-7.9
,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成21年確報,,,,,,,,,,,,,,,,,,
第１６表　実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,
（平成17年平均=100）,,,,,,,,,,,,,,,,,,
実質賃金指数 ＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数※ ×１００　　※東京都区部消費者物価指数は「帰属家賃を除く総合」である。,,,,,,,,,,,,,,,,,,
（注）平成21年１月分調査における調査対象事業所の抽出替えに伴い、指数を平成19年に遡って改訂しています。,,,,,,,,,,,,,,,,,,
